POA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA3821,982,989,1970,91,105,193,11,7,17,246,261,506,8,9,15,0,3,6,7,4,6,0,0,6,0,0,8,0,0,0,0,0,0,270,286,558,10,11,18,5,4,4,376,407,778,109,124,233,1465,1512,2982
POA3822,304,304,612,71,49,117,5,0,3,63,67,131,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,74,136,4,0,0,0,0,3,136,120,262,45,34,81,488,460,950
POA3823,587,573,1159,88,96,186,0,3,7,222,241,470,3,7,12,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,240,261,495,14,24,35,5,10,13,343,381,728,66,52,120,994,1012,2007
POA3824,1464,1516,2979,223,261,483,19,23,40,515,611,1122,18,19,38,5,5,13,3,0,8,8,7,11,0,3,5,0,0,0,0,0,0,573,664,1233,38,22,61,16,19,31,848,966,1817,161,186,343,2481,2664,5138
POA3825,5979,5974,11956,1093,1279,2375,52,46,94,1510,1682,3193,59,67,122,14,11,26,18,18,37,10,11,18,10,11,23,0,5,4,0,0,0,1672,1851,3524,92,78,169,109,106,220,2969,3316,6286,895,871,1766,9841,10165,20006
POA3831,548,500,1046,70,87,156,6,3,8,216,231,448,3,6,6,0,0,4,4,5,4,0,0,0,0,0,6,0,0,0,0,0,0,233,242,478,14,11,25,3,6,15,320,349,671,94,95,195,967,944,1913
POA3832,67,73,142,6,13,24,0,0,0,26,27,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,32,58,0,0,0,0,0,0,39,41,77,8,9,16,112,125,236
POA3833,108,93,197,4,0,3,7,7,14,30,25,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,36,71,8,4,8,0,0,0,46,40,82,35,19,49,180,148,335
POA3835,177,158,335,12,15,25,0,0,0,27,31,58,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,35,58,0,0,0,0,0,0,38,44,84,14,16,24,231,217,445
POA3840,4694,4645,9334,731,785,1513,41,48,93,1408,1425,2834,40,41,80,14,16,33,19,18,38,10,16,29,11,9,23,0,0,4,0,0,0,1548,1579,3125,95,130,225,63,61,127,2433,2556,4994,957,958,1917,8087,8164,16244
POA3842,1265,1323,2589,260,265,529,8,22,35,434,472,910,20,13,30,0,0,3,13,7,18,0,0,0,4,5,4,0,0,0,0,0,0,484,519,1001,21,33,51,15,17,34,777,830,1614,207,224,430,2250,2381,4635
POA3844,8002,8326,16328,1330,1531,2864,117,123,240,3138,3468,6603,98,122,222,29,31,58,38,41,86,14,26,44,25,25,50,11,9,18,0,3,3,3475,3846,7319,266,325,589,97,114,213,5175,5813,10982,999,1067,2070,14173,15205,29381
POA3847,602,622,1228,69,73,141,3,6,13,216,219,433,9,6,14,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,232,235,466,5,11,14,9,5,15,305,324,627,141,134,271,1049,1083,2128
POA3850,3556,3921,7476,1060,1184,2246,149,162,315,1144,1294,2438,150,156,306,56,55,105,30,25,52,21,15,43,25,23,53,29,24,53,0,0,0,1608,1751,3362,166,197,366,55,55,111,2889,3195,6076,508,512,1016,6954,7624,14575
POA3851,1581,1428,3014,97,85,183,39,33,70,675,636,1310,34,26,56,4,9,13,8,7,16,7,8,11,5,3,14,3,0,4,0,0,0,774,723,1498,30,37,59,7,6,16,910,849,1759,1016,200,1216,3506,2473,5987
POA3852,3,5,12,0,0,0,28,7,36,23,16,35,35,21,56,18,0,17,6,6,13,0,0,0,0,0,0,11,8,21,0,0,0,131,57,190,7,0,7,0,0,0,135,57,193,4,5,3,145,66,208
POA3854,492,474,964,23,24,45,0,4,10,141,129,273,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,142,290,0,4,4,0,0,0,173,170,341,50,46,93,707,690,1398
POA3856,336,327,666,20,20,36,0,0,3,99,126,228,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,105,133,237,3,0,3,0,0,0,124,149,279,34,47,76,495,527,1019
POA3857,124,122,250,0,0,4,0,0,0,24,42,62,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,43,70,0,0,0,5,0,3,35,43,82,24,22,41,183,187,372
POA3858,891,838,1728,148,137,282,13,12,21,211,216,427,5,10,16,0,0,5,3,0,7,0,3,4,0,0,0,0,0,0,0,0,0,234,248,482,22,26,44,27,37,66,427,447,867,195,191,389,1511,1473,2987
POA3859,277,249,526,56,65,118,0,3,3,64,57,120,4,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,59,128,15,7,20,0,0,0,136,132,274,52,38,87,468,419,887
POA3860,2059,2143,4201,539,576,1110,21,36,53,421,467,883,19,32,49,4,5,11,13,10,19,4,9,19,3,5,10,3,5,3,0,0,0,489,564,1055,47,62,105,19,21,39,1096,1218,2310,273,258,528,3420,3619,7044
POA3862,923,935,1861,205,202,412,32,19,52,321,318,638,13,22,32,7,9,18,0,0,0,3,4,7,12,5,13,0,0,4,0,0,0,383,377,766,16,13,36,8,9,13,613,603,1223,120,126,250,1657,1671,3335
POA3864,82,74,158,6,5,10,0,0,4,19,13,27,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,24,16,35,0,0,0,0,0,0,24,18,49,11,16,29,122,109,229
POA3865,165,144,304,15,13,26,0,0,0,35,42,80,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,42,44,83,24,6,35,0,0,4,81,66,148,30,21,48,276,228,499
POA3869,530,512,1045,100,116,212,3,0,5,118,138,255,0,0,4,0,0,3,6,3,12,0,4,4,0,5,5,0,0,0,0,0,0,133,157,284,4,3,14,0,4,0,242,277,517,48,41,87,814,831,1644
POA3870,378,401,780,39,31,74,0,3,6,127,130,253,5,0,4,0,4,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,135,140,275,5,9,11,5,0,7,183,177,363,60,67,130,625,652,1280
POA3871,874,869,1741,135,156,294,11,10,20,270,280,551,0,0,5,0,0,0,0,0,6,0,0,3,4,4,3,0,0,0,0,0,0,287,307,587,14,11,21,11,10,24,443,480,922,118,117,235,1440,1461,2903
POA3873,123,102,219,8,0,6,0,0,0,29,23,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,25,53,0,0,0,0,0,7,38,30,68,13,10,25,170,136,310
POA3874,193,177,364,23,20,47,0,0,3,59,57,108,0,5,0,0,0,0,4,0,4,4,3,8,0,0,0,0,0,0,0,0,0,61,70,130,0,0,0,0,0,3,92,95,185,24,29,53,306,292,600
POA3875,4920,5285,10202,1190,1274,2460,146,160,302,1677,1891,3569,63,93,163,26,22,43,52,42,92,23,16,42,23,18,38,9,11,15,0,0,0,2016,2252,4273,161,172,334,72,55,129,3442,3752,7191,719,810,1527,9075,9845,18921
POA3878,334,378,714,57,44,100,19,23,38,163,162,320,0,4,8,0,3,7,4,0,3,0,0,0,0,0,3,0,4,3,0,0,0,186,197,389,3,6,10,4,3,9,253,254,507,23,16,45,619,650,1266
POA3880,1070,1155,2226,200,235,435,37,47,88,453,514,966,33,31,63,5,6,8,3,9,14,9,13,28,5,0,3,0,3,4,0,0,0,546,623,1164,19,25,43,11,20,26,773,899,1675,116,121,234,1962,2170,4132
POA3882,357,327,679,37,36,73,12,10,17,162,194,354,7,8,16,0,0,0,6,4,7,0,0,0,0,0,0,0,0,3,0,0,0,184,215,400,3,6,16,6,0,8,236,265,496,35,40,74,625,630,1250
POA3885,602,552,1154,46,60,111,12,8,20,129,143,275,8,5,12,0,0,0,5,4,8,4,0,5,0,0,4,0,0,0,0,0,0,157,167,319,3,10,11,4,5,8,217,238,455,79,84,165,891,877,1776
POA3886,144,130,276,10,15,29,6,4,8,17,15,36,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,23,28,50,0,0,0,0,0,0,44,45,86,19,22,37,200,193,397
POA3887,91,67,153,0,3,8,5,0,3,22,18,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,27,22,50,0,0,0,0,0,6,31,29,62,23,18,37,147,114,259
POA3888,1016,976,1988,197,226,425,52,46,93,168,165,332,17,23,37,4,3,6,15,12,22,4,3,7,9,0,10,3,0,3,0,0,0,260,252,514,11,12,22,10,4,15,477,494,970,199,195,395,1697,1661,3356
POA3889,49,38,91,3,0,9,8,3,5,10,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,36,0,0,0,0,0,0,29,20,44,21,12,35,96,71,170
