POA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA2321,27,62,46,32,97,81,19,57,8,434,17,47,27,17,91,75,18,45,65,408,600,1332,1110,744,2057,1966,621,1270,158,9861
POA2322,24,76,60,42,98,128,24,43,3,496,23,36,42,18,89,96,23,44,72,452,653,1576,1345,954,2704,2503,729,1330,146,11947
POA2323,32,80,60,37,91,120,30,53,7,506,22,52,32,18,88,104,24,50,72,457,722,1797,1421,906,2614,2401,773,1391,168,12196
POA2324,29,58,56,32,96,93,30,47,3,451,27,51,41,21,108,73,29,46,114,511,683,1458,1221,765,2078,1746,577,1039,245,9810
POA2325,46,89,61,44,120,121,30,39,5,541,32,63,37,34,94,90,23,42,114,532,1017,1919,1424,980,2306,2250,633,1309,240,12082
POA2326,10,21,18,11,37,30,11,10,0,148,13,16,7,13,33,32,6,21,23,169,231,451,396,285,730,610,181,332,56,3270
POA2327,8,19,19,12,40,28,10,17,3,152,11,13,6,4,37,28,10,17,21,142,210,432,378,282,712,625,186,317,51,3207
POA2328,0,3,3,5,6,8,0,7,0,39,4,11,0,3,3,6,3,4,9,43,56,153,137,72,188,265,104,222,17,1225
POA2329,0,0,3,0,7,3,3,0,0,18,0,3,3,0,3,5,0,4,19,40,28,127,94,45,98,177,65,195,36,867
POA2330,23,50,65,26,82,97,32,73,12,466,20,39,26,21,53,70,19,59,94,410,623,1378,1150,627,1729,1832,802,2022,226,10381
POA2331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,0,10,3,0,8,240,24,110,9,401
POA2333,10,38,24,14,56,54,25,42,0,258,13,24,13,11,35,38,11,26,64,222,310,755,632,385,1137,1122,465,1103,136,6040
POA2334,11,11,13,7,24,20,4,15,0,96,6,0,5,4,15,18,0,13,9,67,119,205,196,133,332,302,92,265,36,1674
POA2335,7,22,17,14,48,42,19,29,3,198,11,18,10,0,32,29,4,14,34,155,276,514,424,248,790,824,314,712,81,4183
POA2336,0,3,0,0,21,12,3,7,0,53,0,0,0,0,0,12,4,0,16,43,61,135,128,92,239,229,95,233,29,1242
POA2337,4,26,17,9,28,30,8,25,0,148,5,21,7,8,20,26,11,7,34,142,159,495,385,246,808,833,309,749,72,4070
POA2338,0,6,0,0,0,4,0,0,0,18,3,3,3,3,3,3,0,0,6,24,25,81,85,46,79,99,23,136,22,591
POA2339,0,0,0,0,0,3,0,0,0,14,0,0,4,4,3,0,0,7,5,21,11,40,49,27,40,78,23,78,8,348
POA2340,33,126,112,70,259,212,61,117,8,993,38,89,51,55,174,134,34,96,181,847,1006,3045,2511,1858,5369,5044,1468,3328,387,24016
POA2341,0,6,3,5,4,0,0,0,0,24,0,0,6,0,5,8,0,3,4,26,28,78,50,43,106,83,22,68,10,486
POA2342,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,3,4,12,8,30,20,23,29,44,12,70,8,240
POA2343,0,18,10,0,27,16,3,11,3,74,3,13,4,6,11,18,8,12,9,77,87,251,218,146,350,348,125,430,50,2003
POA2344,0,0,6,8,0,0,0,0,0,19,0,5,0,0,0,0,0,0,3,12,20,31,50,34,69,66,20,84,12,388
POA2345,0,3,0,0,0,4,0,5,0,21,0,4,0,3,6,5,4,6,0,32,17,45,37,29,64,64,21,92,12,372
POA2346,0,0,5,5,15,6,0,12,0,40,0,5,3,0,10,10,0,14,15,53,46,188,147,95,202,205,72,239,18,1208
POA2347,0,3,0,0,3,6,0,3,0,15,4,4,0,0,3,13,0,4,7,36,23,110,74,44,93,134,36,147,20,684
POA2350,17,63,59,22,89,84,23,32,7,394,19,50,34,15,51,54,17,32,77,344,578,1961,1381,955,2814,1943,700,1424,195,11954
POA2352,0,5,5,4,23,13,5,8,0,58,4,7,3,0,8,13,0,9,8,55,72,194,142,131,310,278,65,192,19,1409
POA2353,0,0,3,0,4,0,0,0,0,19,0,6,0,0,3,5,0,4,3,22,33,66,59,40,129,106,22,65,10,516
POA2354,0,5,0,5,6,3,3,3,0,39,8,3,6,6,4,4,0,9,10,57,61,193,190,115,198,276,120,420,37,1616
POA2355,0,0,0,0,0,5,0,0,0,7,4,0,0,3,0,3,0,0,5,16,8,21,26,17,46,57,19,56,5,258
POA2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,5,8,0,11,0,42
POA2357,0,7,0,0,8,10,6,6,0,44,4,8,0,6,9,7,0,3,10,55,47,226,174,138,256,238,83,274,32,1464
POA2358,0,8,7,8,9,7,0,5,0,45,0,11,10,0,3,10,0,5,10,55,74,234,227,140,341,263,76,225,29,1606
POA2359,0,0,0,0,4,5,0,0,0,8,0,0,0,0,0,0,0,0,0,7,3,40,32,17,30,37,9,53,4,231
POA2360,10,35,30,23,72,47,25,26,0,269,14,33,22,21,52,41,8,20,49,256,248,806,629,551,1360,1068,377,820,143,6011
