POA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA4650,0,17,0,128,5,0,0,0,0,4,0,3,0,16,170,191,5,0,0,6,0,3,0,5,0,52,44,114,469,170,34,423,52,345,40,324,67,2418,248,4592
POA4655,4,41,6,312,3,8,0,0,5,9,0,11,5,46,365,450,4,0,4,5,0,0,3,4,0,100,83,206,924,309,50,812,100,634,76,698,125,5700,523,9957
POA4659,0,8,0,14,0,0,0,0,0,0,0,0,0,7,37,40,0,0,0,0,0,0,0,0,0,16,13,35,46,35,10,64,8,60,8,89,7,717,55,1099
POA4660,0,5,0,31,3,0,0,0,4,4,0,0,0,4,58,75,0,4,4,5,0,0,0,0,0,24,11,43,129,46,14,105,18,110,4,108,20,778,81,1405
POA4662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,4,4,5,4,4,6,0,9,0,11,4,44,6,88
POA4670,4,42,0,408,8,0,4,4,0,13,0,9,3,54,411,506,8,4,10,5,3,4,0,0,5,118,94,257,1525,391,73,1192,123,836,74,701,143,5322,594,10988
POA4671,0,0,0,18,0,0,0,0,0,0,0,0,0,0,38,43,4,0,4,0,0,0,0,0,0,5,8,27,98,37,11,71,13,63,6,86,20,423,48,874
POA4673,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,17,0,7,0,4,0,47,7,111
POA4674,0,0,0,6,0,0,0,0,0,0,0,0,0,3,23,23,3,0,0,0,0,0,0,0,0,0,0,11,32,4,3,13,4,18,0,27,3,126,26,257
POA4676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,19
POA4677,0,8,0,34,0,0,0,3,0,0,0,0,0,4,32,44,7,0,0,0,0,0,0,0,0,7,0,17,63,41,7,56,9,31,7,61,10,267,40,588
POA4678,0,0,0,7,0,0,0,0,0,0,0,0,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,15,6,13,0,8,0,65,16,143
POA4680,7,15,0,541,4,0,0,3,0,9,3,5,3,25,348,406,7,0,0,3,4,0,0,0,0,32,18,77,1264,163,55,820,123,698,66,333,96,1639,382,5627
POA4694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,4,20
POA4695,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,6,6,22,0,0,21,4,27,0,7,0,47,17,148
POA4697,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,20
POA4699,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,7,0,3,0,19,12,58
POA4700,3,5,0,152,3,0,0,0,0,0,0,0,0,0,91,102,0,0,0,0,0,0,0,0,0,10,10,24,369,59,16,217,25,139,16,110,23,464,116,1551
POA4701,6,10,0,302,3,0,0,3,0,0,5,0,4,13,261,289,4,0,4,0,0,0,0,0,0,28,33,76,925,151,28,596,79,435,49,246,56,1505,319,4396
POA4702,0,3,0,202,3,4,0,0,5,9,0,0,4,14,264,300,17,0,8,0,0,5,0,0,0,21,37,86,709,114,63,430,65,314,23,159,45,900,316,3147
POA4703,0,23,0,266,4,0,0,3,0,3,0,0,0,3,266,283,4,0,0,3,0,5,0,0,0,24,23,61,518,104,23,368,56,252,33,201,52,1210,309,3133
POA4704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,4,0,19
POA4705,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,12,0,6,0,0,0,3,0,57
POA4706,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,12
POA4707,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,4,0,5,0,21
POA4709,0,0,0,16,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,15,5,9,4,0,0,0,9,59
POA4710,0,6,0,48,0,0,0,0,0,0,0,0,0,0,46,46,3,0,0,0,0,0,0,0,0,5,0,6,79,30,8,65,0,72,6,55,18,336,54,716
POA4711,0,0,0,19,0,0,0,0,0,0,0,0,0,0,21,24,3,0,0,0,0,0,0,0,0,0,0,3,45,8,0,33,9,36,4,8,4,80,20,238
POA4712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,5,3,26
POA4713,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,25
POA4714,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,16,0,0,0,0,0,0,0,0,0,4,5,12,19,11,3,17,3,39,7,16,4,173,22,309
POA4715,0,0,0,72,0,4,0,0,0,0,0,0,0,6,43,49,0,0,0,0,0,0,0,0,0,3,4,12,203,24,16,113,23,73,8,23,20,152,52,697
POA4716,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,4,34,5,0,18,0,8,0,5,8,29,5,112
POA4717,0,0,0,87,0,0,0,0,0,5,0,0,0,0,27,36,0,0,0,0,0,0,0,0,0,0,6,4,139,7,7,66,12,54,7,7,12,26,39,378
POA4718,0,0,0,35,0,0,0,0,0,0,0,0,0,0,13,20,0,0,0,0,0,0,0,0,0,0,0,5,68,5,4,44,8,30,0,17,4,45,12,225
POA4719,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,3,38,4,0,24,4,11,3,10,0,25,5,120
POA4720,5,5,0,193,0,0,5,0,0,0,0,0,0,5,114,123,0,0,3,0,0,0,0,0,0,0,7,17,440,48,24,249,29,142,19,57,26,156,122,1315
POA4721,0,0,0,49,0,0,0,0,0,0,0,0,0,0,22,29,4,0,3,0,0,0,0,0,0,0,7,17,129,15,10,60,10,37,0,14,5,68,32,380
POA4722,0,0,0,23,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,3,66,3,5,25,0,21,0,4,4,34,15,183
POA4723,0,0,0,18,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,6,0,9,53,4,0,31,4,11,4,3,0,34,13,160
POA4724,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,10,5,0,0,0,0,0,0,0,0,0,0,9,31,5,0,11,0,6,0,0,0,6,6,65
POA4725,0,0,0,10,0,0,0,0,0,0,0,0,0,0,13,15,0,0,0,0,0,0,0,0,0,6,4,8,47,20,0,22,0,26,0,4,0,47,17,179
POA4726,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,8,0,3,0,6,0,39
POA4727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,9,0,0,0,0,0,4,0,31
POA4728,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,3,0,6,0,17
POA4730,0,0,0,17,0,0,0,0,0,0,0,0,0,3,26,34,0,0,0,0,0,0,0,0,0,6,4,7,116,14,0,52,0,26,0,16,9,57,27,322
POA4731,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,10,0,0,0,5,6,42
POA4732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,17
POA4733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,18
POA4735,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,12,5,0,0,0,0,0,0,0,0,0,3,9,39,5,0,14,0,13,0,4,0,18,16,115
POA4736,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,5,14
POA4737,0,3,0,86,0,0,0,0,0,0,0,0,0,8,97,106,0,0,0,0,0,0,3,0,0,8,16,25,192,30,5,100,17,114,7,71,28,328,117,1003
