POA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2063,0,5,4,16,7,17,3,3,0,63,0,7,18,29,38,21,4,7,0,130,138,220,293,610,834,575,234,47,4,2954
POA2064,0,9,37,21,12,21,15,0,0,114,5,6,43,69,32,21,15,0,0,189,110,357,1203,1540,945,518,192,21,4,4888
POA2065,10,27,139,96,102,63,14,7,0,456,5,43,238,228,114,86,24,8,0,744,335,1233,6025,5315,3379,2118,783,136,4,19324
POA2066,14,49,128,145,98,74,27,7,0,544,15,40,190,213,118,88,33,9,0,707,577,1221,4340,5028,3826,2401,861,153,8,18412
POA2067,10,24,80,109,65,55,15,0,0,350,11,47,171,198,125,66,14,11,0,641,306,1056,3311,3711,2508,1466,482,73,13,12907
POA2068,21,20,27,53,59,33,12,3,0,225,8,21,41,80,91,56,15,0,0,317,377,607,1066,2096,2348,1476,494,67,6,8535
POA2069,10,19,21,35,47,38,9,4,0,180,13,19,33,65,73,39,19,7,4,265,320,607,958,1604,1803,1203,453,96,12,7049
POA2070,7,17,21,32,35,32,5,0,0,161,14,14,43,78,76,33,21,4,0,277,298,584,1014,1663,1724,1145,376,75,0,6872
POA2071,4,12,26,27,43,21,9,4,3,147,7,23,40,64,80,29,14,5,0,256,250,615,907,1316,1577,1093,371,68,10,6198
POA2072,0,17,20,17,21,14,14,3,0,106,9,9,49,61,52,27,8,0,0,209,172,386,882,980,1001,673,215,44,3,4353
POA2073,7,19,35,31,42,32,17,0,0,182,14,20,43,90,96,57,21,6,0,353,401,739,1026,1964,2171,1573,516,98,6,8496
POA2074,11,21,45,46,53,45,23,3,0,253,9,26,52,106,109,73,25,14,0,415,518,918,1250,2457,2876,1991,700,147,15,10874
POA2075,9,26,42,50,68,53,16,3,0,274,12,20,56,128,111,76,34,3,0,444,420,778,1018,2405,2623,1769,682,141,8,9854
POA2076,17,37,41,63,82,49,17,3,0,306,15,36,61,112,130,81,14,7,0,445,617,1009,1381,2727,3147,2065,655,141,11,11759
POA2077,24,64,134,158,150,82,29,0,0,642,15,69,217,295,169,114,33,5,6,938,628,1669,4875,6544,4445,2760,769,77,11,21785
POA2079,11,16,22,27,38,24,5,0,0,150,6,8,22,39,31,33,4,0,0,144,229,311,677,1002,1021,791,177,12,0,4216
