POA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA2000,106,88,223,167,59,110,30,168,13,965,148,114,252,231,98,117,50,211,23,1247,105,45,205,115,77,71,21,109,14,755,11,4,8,8,7,7,6,12,0,65,26,16,26,25,33,18,3,21,4,171,12,31,17,20,23,9,12,16,0,148,30,43,33,28,9,15,12,43,76,290,2181,4627,1232,1258,1226,863,304,1048,305,13053
POA2007,18,21,25,22,15,10,0,22,3,148,30,52,48,69,22,29,9,29,4,289,27,29,59,42,24,12,9,25,7,224,0,6,0,7,6,3,0,4,0,24,6,9,6,11,5,3,5,4,0,37,0,9,8,5,0,0,0,4,0,33,0,3,7,5,4,3,3,9,14,54,425,1268,285,360,317,203,99,240,64,3248
POA2008,30,35,39,20,13,10,3,21,0,173,48,52,40,55,37,26,7,33,3,304,32,45,78,44,33,19,0,25,8,279,0,8,4,3,7,3,0,3,0,31,0,7,0,6,3,4,0,0,0,36,4,8,0,10,3,3,3,0,0,34,3,11,0,3,6,10,3,0,13,52,710,2343,318,380,476,266,76,153,65,4788
POA2009,79,71,29,38,45,20,5,10,10,298,103,89,65,62,49,41,15,29,8,452,97,49,110,64,59,35,21,39,9,489,8,0,3,6,7,8,0,5,0,43,16,8,10,18,17,13,0,6,0,83,13,24,10,3,7,6,8,3,7,79,14,19,8,9,12,6,3,7,21,103,1382,2525,400,459,617,317,106,216,121,6148
POA2010,117,200,55,79,70,53,8,41,9,629,191,210,92,118,109,63,19,48,6,863,152,106,254,128,109,66,31,58,19,910,16,13,7,14,16,3,5,11,0,86,30,42,19,27,26,14,6,11,3,181,20,52,14,8,10,8,4,10,3,131,33,42,16,22,25,20,6,18,38,228,3087,7317,759,813,1287,710,149,383,241,14745
POA2011,108,127,36,45,75,39,7,24,8,476,152,148,64,95,93,55,9,16,12,640,142,74,221,111,90,56,8,43,16,759,7,10,12,11,15,9,4,0,0,66,41,35,13,21,34,19,7,9,0,189,20,43,8,10,12,12,4,3,0,115,19,33,4,8,13,12,5,10,24,132,2194,4568,542,572,978,474,88,200,150,9768
POA2015,72,93,26,29,34,25,11,11,0,293,124,98,51,64,73,32,7,13,0,465,99,65,187,56,70,43,23,41,0,591,5,4,6,7,14,10,0,0,0,54,18,18,6,13,19,9,3,0,0,88,4,13,6,4,10,0,0,3,0,41,20,24,4,8,10,3,7,0,17,105,1459,3182,439,349,654,341,94,124,88,6724
POA2016,52,80,25,19,38,25,3,10,9,263,59,93,54,65,47,42,14,26,9,405,73,50,135,53,55,28,15,37,11,461,3,3,4,11,4,3,0,14,0,50,17,18,9,10,19,11,3,10,0,88,13,13,4,4,4,0,0,3,0,52,14,29,3,11,6,11,9,9,18,107,1111,3104,394,376,612,287,92,198,122,6293
POA2017,127,151,65,43,58,51,18,22,13,554,198,232,123,154,140,93,26,55,20,1042,197,138,523,153,161,81,30,79,19,1392,10,17,10,20,18,11,0,15,0,102,26,38,24,22,27,21,6,19,3,185,16,57,9,22,12,9,0,15,6,147,24,46,16,18,19,15,14,20,46,216,2570,6537,1217,864,1530,838,245,469,223,14496
POA2018,79,99,54,54,77,33,20,17,3,433,105,130,71,107,123,81,27,31,7,685,125,74,473,144,110,62,60,87,23,1162,15,5,0,7,23,15,5,12,4,82,22,20,19,28,58,27,10,16,0,197,9,15,11,11,23,8,6,10,0,90,23,28,18,9,14,11,9,17,30,163,1390,3102,877,678,1068,489,263,308,134,8307
POA2019,91,68,38,45,66,22,7,19,5,352,116,96,58,105,107,53,14,28,7,588,171,62,448,119,157,79,84,88,23,1228,5,5,7,12,16,4,0,3,0,59,28,11,13,12,46,17,11,18,3,164,9,14,5,8,8,3,0,6,0,52,13,18,9,6,26,8,11,14,17,114,1040,1690,681,475,753,304,175,215,86,5425
POA2020,72,89,113,102,79,51,22,70,10,602,113,105,145,158,149,113,65,90,16,952,133,68,508,146,143,63,87,110,23,1281,8,3,8,13,14,8,5,10,0,77,15,21,19,15,42,18,7,17,4,160,16,33,15,3,14,20,0,19,8,121,10,27,28,24,21,16,12,18,50,219,1300,3319,1184,905,1277,667,388,606,212,9871
POA2021,94,102,16,31,34,25,5,7,0,314,99,92,35,40,60,39,5,5,7,376,83,36,116,46,46,32,10,29,8,393,3,7,3,5,8,0,0,5,0,32,35,24,9,5,20,17,4,0,0,110,9,20,3,8,4,5,5,5,0,51,25,24,6,7,8,6,0,6,19,103,1840,4043,312,307,669,413,47,90,128,7853
POA2022,58,81,28,23,48,23,0,13,9,291,60,77,38,61,67,29,8,17,3,368,80,35,247,66,41,25,12,32,10,557,9,3,4,3,12,3,0,0,0,37,17,15,5,13,21,13,4,13,0,98,9,37,4,6,12,0,3,8,0,82,15,30,3,14,4,5,4,13,29,119,1326,2765,458,386,580,328,77,193,123,6236
POA2023,56,78,15,23,30,26,0,9,3,240,61,63,20,28,40,27,0,3,0,245,66,27,81,35,28,28,14,15,8,288,5,4,3,0,0,0,0,0,0,20,12,8,3,11,19,15,0,0,0,73,17,19,3,0,10,3,0,3,0,54,16,24,5,9,10,6,0,6,18,86,1127,2222,208,206,437,282,28,53,129,4688
POA2024,68,90,13,25,43,8,5,4,3,259,62,83,31,39,51,25,3,4,6,311,55,38,151,43,46,24,9,21,8,394,3,4,4,5,9,3,0,0,0,26,13,12,5,6,19,11,0,3,0,75,11,16,6,4,6,3,0,0,0,49,15,26,7,5,12,7,0,0,15,94,1215,2513,316,250,462,244,34,66,94,5191
POA2025,19,50,0,13,15,15,0,0,3,126,42,38,6,10,13,16,0,4,6,132,28,17,50,12,21,17,0,11,0,144,0,0,0,0,0,0,0,0,0,5,8,15,0,7,11,0,0,0,0,46,8,11,0,0,6,4,0,0,0,29,5,13,7,6,3,6,6,0,5,50,775,1716,102,119,261,174,13,27,72,3256
POA2026,175,210,57,76,90,50,12,24,13,707,199,247,116,130,128,79,25,38,20,994,194,128,508,130,90,94,43,73,19,1288,19,11,4,13,21,10,4,9,4,89,62,59,28,26,45,19,10,16,0,261,43,71,10,11,18,11,3,3,3,176,59,96,15,22,31,20,12,18,61,330,3773,7612,1065,884,1325,960,223,326,346,16515
POA2027,53,49,5,12,32,17,0,7,3,176,46,37,17,22,23,20,0,4,0,165,42,30,40,23,18,22,0,10,0,188,0,0,0,0,0,9,0,0,3,20,15,8,3,5,6,10,0,0,3,54,10,15,0,0,3,0,0,0,0,35,11,24,0,0,11,9,0,0,22,78,919,1665,116,127,316,202,17,37,98,3486
POA2028,29,34,3,10,9,7,0,0,3,103,20,23,5,19,11,15,3,0,3,96,24,9,33,8,12,6,0,5,5,101,7,0,0,4,4,5,0,0,0,12,3,3,5,0,3,7,0,3,0,30,3,8,0,0,0,0,0,0,6,20,12,17,0,5,6,4,0,0,3,44,543,1111,77,82,208,122,8,25,59,2238
POA2029,66,81,17,35,45,21,7,3,11,279,64,64,23,38,50,27,3,11,3,280,63,22,120,42,39,37,6,22,3,359,11,3,0,0,5,4,0,0,0,27,22,18,12,11,21,6,0,0,0,95,11,13,0,5,5,0,0,0,0,40,11,16,3,14,6,10,0,10,17,77,1056,1787,239,251,442,260,43,73,99,4250
POA2030,88,81,11,32,53,32,0,10,3,313,81,55,29,23,32,33,0,3,7,267,93,26,86,48,45,30,4,18,13,357,3,5,0,0,10,4,0,0,0,31,25,20,8,14,21,9,3,8,0,96,15,22,0,3,12,9,0,0,3,70,26,38,6,9,8,7,0,0,12,101,1462,2463,215,244,577,335,18,64,140,5520
POA2031,142,215,56,58,122,52,15,14,6,691,175,218,114,128,167,64,14,31,15,933,200,106,686,164,140,92,56,103,23,1576,15,7,9,16,22,14,0,3,0,89,48,32,25,31,52,28,12,15,6,262,35,63,14,10,25,12,3,10,0,177,28,55,19,29,35,10,9,16,37,244,3201,7684,1221,939,1569,739,209,320,234,16128
POA2032,61,68,22,27,47,33,13,18,8,304,58,61,45,65,65,39,16,31,3,381,73,31,233,77,60,36,34,59,10,601,8,5,8,12,13,5,6,5,0,58,5,4,15,15,31,15,9,7,0,95,9,13,10,3,11,8,0,5,0,53,12,23,11,16,13,7,6,12,13,113,760,2304,534,453,630,305,170,255,91,5501
POA2033,38,52,22,26,44,24,6,4,5,229,44,61,39,52,56,36,10,24,4,328,47,42,193,48,55,24,18,36,8,477,11,6,6,4,3,10,3,4,0,46,15,7,5,9,25,10,0,5,0,83,7,12,6,6,6,3,0,4,4,46,3,15,6,8,14,6,7,6,13,80,752,2108,414,332,561,266,100,169,72,4771
POA2034,119,132,39,53,72,32,0,10,9,470,120,136,66,105,115,42,7,16,9,622,167,69,453,104,112,58,20,49,14,1037,8,7,3,10,8,11,0,3,0,58,27,31,16,17,29,25,3,3,0,158,17,45,5,5,12,9,4,4,6,96,15,36,15,11,15,8,0,3,39,139,2154,4491,758,598,948,454,83,162,174,9823
POA2035,158,197,88,98,144,69,16,40,8,819,192,172,103,171,180,63,34,45,11,980,243,103,767,225,178,104,95,165,41,1926,11,13,8,29,24,14,6,12,0,110,51,32,24,40,72,18,11,29,0,278,24,57,25,12,24,10,5,8,0,177,31,54,21,24,37,25,10,18,42,260,2541,5331,1359,1075,1541,669,315,518,225,13576
POA2036,153,165,76,98,150,57,37,39,10,796,200,183,109,164,226,68,41,47,11,1051,288,119,992,279,284,122,165,208,43,2493,15,19,13,28,37,16,7,20,3,150,35,34,26,56,106,34,20,33,6,349,24,27,17,17,27,11,4,9,0,145,34,32,21,31,37,17,13,36,47,261,1991,3783,1487,1072,1501,659,411,532,201,11635
POA2037,58,94,30,29,41,21,5,10,4,289,96,125,47,71,69,32,9,22,12,479,87,62,141,73,59,39,17,42,7,530,12,6,7,5,6,4,0,8,0,50,23,25,8,9,13,6,0,5,0,97,13,24,3,4,4,3,0,0,0,54,11,19,7,6,16,5,0,9,13,78,1477,3904,398,446,745,332,89,166,133,7685
POA2038,49,65,18,18,33,25,0,7,0,214,60,73,29,28,45,16,3,7,0,261,71,34,119,46,55,26,13,18,3,380,8,9,0,3,4,10,0,3,0,32,17,17,6,0,17,8,0,0,3,70,0,18,0,0,3,4,0,0,0,33,7,13,0,4,6,0,0,0,5,39,1031,2277,275,241,439,200,38,58,57,4612
POA2039,75,67,16,13,39,19,3,3,4,241,86,70,40,13,48,24,5,8,0,287,70,28,109,27,41,26,9,22,5,340,14,4,3,3,3,3,0,0,0,38,12,14,9,5,10,5,3,3,0,59,11,16,0,0,4,3,3,0,0,50,7,12,3,0,10,0,0,0,6,50,1167,1916,246,164,384,189,40,64,49,4212
POA2040,114,200,46,58,64,36,7,13,0,553,161,192,76,103,142,64,10,21,9,771,189,120,344,115,129,57,46,47,18,1067,15,17,4,12,18,12,7,5,0,95,33,50,5,20,45,15,5,6,3,186,17,23,3,0,12,0,3,0,0,58,20,25,8,10,13,11,3,0,22,117,2430,4834,667,597,1054,430,115,143,126,10404
POA2041,100,115,25,32,48,29,6,5,4,357,114,105,24,43,61,30,0,4,3,384,99,46,170,55,51,39,19,21,0,504,6,3,0,5,7,14,3,0,0,46,22,16,0,14,30,12,3,4,0,106,13,32,4,5,0,0,0,3,8,67,12,12,3,7,10,0,0,0,18,65,1988,3485,315,288,649,310,48,61,89,7229
POA2042,73,140,46,32,55,30,0,11,0,394,114,149,58,113,77,62,13,29,11,641,124,110,281,100,100,65,33,37,13,855,8,11,12,10,12,14,3,4,0,62,19,26,6,13,32,15,0,7,3,125,20,30,3,0,9,4,0,5,4,84,17,27,8,9,17,8,6,3,24,112,1817,4992,688,613,989,414,118,199,138,9972
POA2043,54,83,16,21,33,12,5,3,0,232,88,101,35,34,59,28,3,6,6,360,72,69,129,44,42,26,7,14,13,400,6,8,0,4,7,3,0,0,0,31,13,16,11,14,13,8,8,0,0,74,8,18,0,6,11,3,0,6,0,54,12,4,0,0,8,3,0,0,12,48,1285,3110,334,260,574,238,41,67,81,5994
POA2044,37,55,20,19,24,17,5,9,0,187,71,69,29,33,57,23,10,10,4,310,72,42,170,48,75,22,25,35,8,503,11,5,6,3,14,6,7,3,0,49,12,13,8,5,26,3,9,0,0,73,11,3,4,0,3,0,0,4,0,34,6,12,3,5,9,5,0,4,9,51,785,1679,361,231,475,176,94,123,49,3971
POA2045,40,43,4,8,21,16,3,3,3,150,44,44,16,32,52,17,5,6,0,200,53,16,122,36,36,17,15,20,0,318,4,6,5,3,7,0,0,5,0,22,7,8,3,9,26,14,0,0,0,69,4,6,0,0,3,0,0,0,0,17,5,16,3,0,3,3,0,4,0,34,536,1100,188,133,294,129,33,46,20,2483
POA2046,180,171,48,53,129,65,18,23,9,696,219,221,85,105,203,90,24,22,12,972,273,118,548,132,202,113,62,96,39,1594,23,15,15,12,45,14,0,12,0,130,70,39,15,19,105,42,5,12,3,313,21,27,10,9,16,12,3,3,0,100,30,30,6,7,25,18,4,16,24,162,2592,4362,935,602,1396,610,167,245,175,11089
POA2047,75,88,8,26,59,22,6,3,3,292,104,94,38,50,80,38,8,11,3,420,105,60,195,49,85,52,22,25,11,591,6,7,0,7,6,3,0,0,4,44,26,24,9,10,25,23,4,5,3,128,13,20,0,3,4,5,0,0,0,49,15,13,4,6,25,4,0,4,11,83,1309,2318,346,267,605,271,46,81,89,5344
POA2048,33,49,15,21,38,13,5,7,0,182,45,68,23,33,45,19,9,4,3,251,48,42,111,37,54,22,16,16,3,342,0,5,0,0,5,0,0,3,0,24,8,14,9,11,8,5,0,7,0,60,7,10,5,0,0,0,0,3,0,31,6,9,0,0,6,3,0,4,4,29,692,1946,268,250,426,170,56,77,31,3910
POA2049,45,88,21,25,27,11,3,9,3,248,80,105,47,57,63,25,9,8,0,389,54,68,167,68,93,40,31,47,9,572,5,10,4,8,20,7,0,8,0,47,19,17,8,10,22,7,3,6,0,96,6,12,7,3,5,0,0,0,0,38,6,15,6,3,14,4,3,8,10,63,1090,2948,404,362,669,220,68,147,64,5969
POA2050,43,63,13,15,24,12,5,0,0,173,78,87,28,37,32,13,4,4,3,294,53,46,107,33,43,12,10,13,0,329,7,5,0,3,9,4,0,3,0,35,8,10,0,5,15,8,0,3,0,56,7,18,0,4,3,4,0,0,0,37,9,16,5,6,13,0,0,0,8,51,943,2556,302,256,453,194,50,53,60,4854
POA2060,62,99,26,32,46,20,4,14,5,308,97,101,52,45,63,39,10,11,11,417,70,55,120,74,68,46,7,17,5,463,6,3,0,0,7,0,0,0,0,28,19,16,9,4,22,18,7,3,5,106,10,24,6,9,16,8,4,0,5,75,13,17,3,7,17,5,8,0,14,85,1737,4035,380,362,879,342,47,113,142,8044
POA2061,34,38,9,7,13,14,0,3,0,121,45,35,8,10,22,12,0,7,6,142,31,25,40,15,15,9,4,10,3,149,0,3,0,0,5,0,0,0,0,13,13,14,0,0,18,4,0,0,0,54,9,8,0,0,3,3,0,4,0,25,11,9,0,0,6,5,0,0,8,42,814,1564,93,96,312,161,7,33,50,3140
POA2062,45,47,5,14,45,12,0,9,3,180,44,45,21,30,31,19,0,9,3,199,48,33,71,22,38,21,6,0,5,240,11,4,0,0,13,0,0,0,0,28,16,11,0,8,13,4,0,0,0,51,10,16,5,0,3,0,0,0,0,36,8,3,0,3,11,0,0,0,5,32,880,1652,157,163,362,151,17,36,37,3458
POA2063,42,35,7,7,34,10,0,5,0,140,23,23,8,15,22,8,0,0,0,105,26,11,39,10,9,12,0,5,7,123,0,0,0,0,7,5,0,0,0,8,9,5,0,8,14,0,0,0,0,37,7,3,0,0,5,0,0,0,0,17,4,10,0,0,3,0,0,0,3,21,655,1149,81,84,258,114,13,19,64,2433
POA2064,40,38,16,28,31,11,11,9,0,187,30,44,27,23,53,14,3,17,0,217,39,28,68,43,41,21,12,14,3,264,0,0,0,0,7,4,4,6,0,19,6,8,3,5,14,7,4,0,0,52,9,19,0,4,4,0,6,0,0,41,8,14,3,3,9,0,0,4,9,56,726,2127,235,245,479,185,66,93,66,4223
POA2065,194,218,59,74,111,53,10,26,8,749,229,215,101,110,144,70,14,25,7,926,167,121,285,129,153,67,19,32,13,990,14,13,5,9,18,12,0,4,0,78,34,45,11,26,50,18,4,5,3,207,33,68,10,7,24,7,0,6,3,158,30,46,12,13,21,18,6,11,32,187,3872,8593,836,757,1768,686,113,219,244,17086
POA2066,164,224,59,63,120,55,3,23,15,727,190,261,85,107,196,73,25,32,6,972,180,118,395,152,160,111,32,50,17,1205,16,20,9,8,25,7,4,7,0,96,61,39,27,24,72,31,14,10,0,276,30,45,18,3,26,17,6,4,4,143,37,48,14,10,17,17,11,11,48,196,3513,7429,935,804,1746,731,156,247,246,15814
POA2067,90,106,58,62,71,45,18,32,4,494,111,90,74,109,98,87,17,56,5,642,78,53,208,99,74,61,15,48,7,650,6,12,13,9,9,8,0,10,4,75,25,28,28,18,38,13,3,4,0,155,23,36,18,8,16,6,5,15,0,127,30,41,12,19,31,13,4,6,45,206,2066,4824,705,706,1338,693,161,307,203,11002
POA2068,104,101,31,33,60,28,9,3,6,372,96,115,24,46,78,42,10,7,3,415,93,53,164,56,62,35,14,26,9,518,7,4,4,7,13,13,0,0,0,50,25,17,6,9,37,14,3,10,0,121,16,29,0,5,10,4,0,3,0,70,25,23,6,6,11,4,6,0,15,99,1766,3206,332,309,775,374,87,93,101,7041
POA2069,64,79,18,32,64,19,3,6,7,294,73,60,17,39,56,17,4,9,4,288,58,37,101,32,37,22,8,25,3,322,8,0,0,6,8,0,0,0,0,32,18,13,7,16,18,17,0,3,0,98,12,25,3,3,13,7,0,9,0,69,9,22,3,3,12,4,3,0,15,59,1438,2816,259,256,620,269,52,87,112,5899
POA2070,63,72,14,14,44,16,4,12,3,244,63,62,18,37,48,29,5,6,3,271,56,36,83,34,36,17,6,13,4,291,0,0,3,0,9,0,0,0,0,14,13,21,9,4,24,10,0,0,6,85,7,18,4,5,3,0,0,0,4,43,0,15,0,0,10,3,0,0,19,61,1382,2815,241,233,621,265,47,63,99,5768
POA2071,66,58,21,22,54,16,0,4,3,240,43,69,23,28,40,27,3,4,0,246,41,18,72,30,29,18,4,14,4,234,6,3,0,4,3,5,3,0,0,25,19,12,3,10,26,3,0,7,0,85,11,21,6,8,10,10,0,0,0,59,8,16,4,0,9,3,0,3,14,66,1161,2477,224,225,646,267,42,87,90,5217
POA2072,43,54,12,12,31,8,3,9,4,174,41,40,18,26,30,18,8,3,3,189,40,25,55,27,19,20,3,6,0,196,4,6,8,0,3,0,0,0,0,26,7,5,4,7,12,7,6,0,0,52,6,14,0,0,6,4,0,3,0,40,9,7,3,7,6,4,0,0,21,58,814,1763,192,184,411,206,44,53,73,3743
POA2073,99,78,22,28,61,21,0,10,4,321,76,71,27,33,51,30,11,10,6,315,65,43,113,42,55,24,10,25,5,379,6,4,3,0,15,3,5,0,0,42,20,16,9,10,36,0,4,5,4,102,22,24,0,0,3,4,0,0,0,63,11,31,0,0,10,6,3,4,16,82,1806,3325,320,275,791,324,53,88,114,7097
POA2074,107,133,31,52,113,29,7,12,7,488,121,130,32,68,89,44,3,8,7,504,123,63,161,68,82,40,15,25,5,586,13,6,3,10,17,13,0,3,0,60,35,40,9,9,27,15,3,6,6,152,21,27,0,0,16,7,4,0,0,74,12,25,3,6,15,3,0,5,13,89,2237,4224,388,424,1081,368,65,101,129,9014
POA2075,134,148,34,35,86,55,11,7,9,518,110,95,49,58,86,44,6,21,7,478,102,55,177,49,62,52,19,24,8,555,5,3,3,10,23,12,6,4,0,60,34,21,4,7,46,22,10,7,5,153,20,41,3,5,14,7,0,0,0,97,30,34,11,8,17,8,8,0,22,135,2081,3510,424,378,989,454,98,110,148,8189
POA2076,104,167,32,56,107,30,9,22,4,534,123,128,50,84,106,47,5,11,0,571,128,81,252,97,87,50,21,46,13,770,12,8,0,3,20,5,0,10,3,59,31,27,16,20,45,24,7,7,4,170,13,37,8,3,15,3,0,6,0,86,14,21,3,3,20,9,5,4,25,105,2175,4418,536,572,1177,392,84,173,144,9664
POA2077,130,206,104,147,153,58,30,45,19,899,194,267,173,294,241,110,42,85,13,1425,232,139,709,364,275,128,100,146,36,2128,10,16,13,24,33,13,5,14,0,135,32,37,32,48,96,33,16,36,6,334,27,57,18,21,35,21,10,10,4,191,27,45,26,37,43,16,13,31,66,297,2555,7630,1638,1755,2278,904,356,729,278,18124
POA2079,42,62,29,33,40,21,6,4,0,223,47,47,28,59,57,24,6,15,4,285,91,57,236,60,72,32,34,57,5,651,3,11,9,4,9,0,0,5,0,45,17,10,8,12,27,8,4,6,0,94,11,13,5,0,9,3,0,5,0,52,9,9,3,8,8,5,4,0,3,39,576,1232,388,306,413,140,79,120,30,3283
POA2080,14,15,5,0,5,5,3,7,0,52,12,14,3,12,16,3,0,0,0,75,24,11,65,20,10,7,10,12,0,151,0,0,4,4,0,5,0,0,0,11,7,3,4,0,3,0,4,0,0,16,0,0,0,0,4,0,0,0,0,5,5,3,0,0,3,0,0,4,0,14,133,260,97,58,91,32,14,20,4,720
POA2081,35,35,14,9,33,7,5,6,6,146,42,42,24,42,47,9,0,4,0,214,81,44,167,52,83,20,20,41,4,505,0,5,3,7,8,4,0,0,0,36,14,13,3,8,17,9,0,4,0,82,4,3,5,0,4,0,0,0,0,15,3,0,3,3,10,7,0,7,5,34,445,821,249,185,319,89,41,76,28,2253
POA2082,26,42,11,14,31,9,0,0,0,141,45,43,27,33,47,10,4,8,0,217,68,29,210,49,70,30,29,30,4,521,8,5,5,10,3,9,0,3,0,36,9,10,9,3,26,0,6,0,0,71,0,6,3,0,7,0,0,0,0,22,3,4,0,3,7,3,5,5,7,35,401,776,312,189,294,93,45,70,21,2200
POA2083,5,6,3,5,6,0,0,3,0,31,9,13,5,9,13,3,0,3,0,56,33,14,70,17,15,9,4,10,0,175,5,0,0,0,4,0,0,0,0,14,4,5,4,0,0,3,0,6,0,15,0,4,0,0,0,0,0,0,0,7,5,8,0,4,4,0,0,0,0,20,146,213,101,49,76,25,9,37,11,662
POA2084,20,26,14,12,14,12,0,4,0,103,32,30,14,21,27,6,4,3,0,142,44,26,150,20,36,11,21,26,3,329,0,0,0,0,9,0,0,0,0,14,16,10,0,0,18,0,0,0,0,52,6,0,0,0,4,4,0,0,0,14,9,3,4,3,5,6,0,0,0,27,327,420,195,93,170,74,34,48,12,1372
POA2085,82,105,24,29,62,21,9,5,3,350,84,83,36,55,105,34,11,8,3,417,112,42,252,69,103,42,27,35,13,700,6,8,0,4,13,7,0,0,0,41,30,20,6,6,28,22,7,9,0,131,11,13,3,0,9,0,0,0,0,35,10,7,3,5,20,4,4,3,4,75,1003,1483,384,282,552,226,71,90,51,4141
POA2086,99,117,22,32,73,20,7,10,7,395,111,85,52,73,80,31,12,7,6,459,145,77,349,102,108,66,47,62,17,966,6,9,8,0,26,9,0,0,0,60,31,27,13,14,55,19,9,11,0,165,14,15,8,5,11,0,0,0,3,55,17,25,7,3,6,5,0,3,8,82,1324,2002,567,380,680,267,100,132,57,5508
POA2087,75,100,25,39,72,22,8,8,0,349,71,79,27,48,68,25,8,10,4,335,82,41,220,85,65,29,18,32,3,583,11,4,11,0,13,3,4,0,0,57,22,25,6,12,34,16,3,5,3,119,15,15,6,5,7,10,0,0,0,51,15,29,9,0,8,3,4,4,14,85,1184,1932,371,324,572,228,73,102,53,4841
POA2088,160,187,36,35,115,69,6,14,14,640,158,175,65,75,106,82,11,17,13,699,134,73,185,74,94,71,21,50,10,710,6,14,3,5,11,12,0,0,0,51,39,39,11,10,42,21,8,5,3,185,35,42,8,0,12,8,0,0,11,118,31,47,8,10,25,15,0,3,34,175,3146,5477,473,492,1198,648,85,159,281,11950
POA2089,79,102,22,38,59,28,8,7,4,340,84,73,33,58,67,32,6,9,10,374,74,46,119,46,53,42,12,4,4,403,15,4,4,3,9,8,0,0,0,39,17,20,11,3,33,11,4,0,0,101,13,26,3,3,13,8,0,0,9,74,14,16,3,9,11,4,0,0,14,71,1408,2793,309,301,635,318,55,69,94,5977
POA2090,76,118,21,32,59,36,6,14,3,367,106,104,38,51,69,44,3,11,6,426,76,57,130,40,63,22,6,22,9,421,9,3,4,0,11,0,0,3,0,30,23,32,3,6,25,7,7,3,3,115,8,21,0,10,10,0,0,3,0,54,15,17,4,3,13,5,0,4,12,87,1684,3061,314,322,679,304,43,98,101,6608
POA2092,54,52,11,17,26,17,3,5,0,184,52,46,7,15,29,21,3,0,5,178,64,29,81,26,32,24,11,7,0,270,3,5,0,6,4,0,0,0,0,23,19,5,4,9,19,3,0,3,0,64,10,4,5,3,3,0,0,0,0,27,13,15,0,5,10,4,0,0,14,60,878,1153,149,146,272,141,23,27,44,2824
POA2093,137,164,48,57,100,46,11,11,4,585,179,171,71,84,136,67,13,20,13,746,178,96,398,125,111,61,46,56,13,1093,16,15,4,14,27,8,0,0,0,82,46,38,16,19,48,31,3,6,0,205,24,19,17,6,19,8,5,0,0,95,33,31,9,14,21,9,7,7,26,159,2548,3963,728,628,1048,530,144,163,138,9891
POA2094,36,56,11,9,32,0,0,9,3,162,40,53,19,25,38,7,4,12,4,202,55,24,90,25,33,16,4,15,0,252,6,6,0,0,7,4,0,0,0,25,10,5,7,6,17,10,5,0,0,57,0,4,0,3,4,5,0,0,0,23,6,10,0,6,4,6,3,0,9,40,741,1293,170,169,277,146,33,50,45,2918
