POA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA3714,8,15,9,4,10,9,3,0,0,55,25,16,14,38,28,5,5,4,0,127,56,10,155,62,44,21,35,49,6,437,4,0,5,7,6,4,0,0,0,23,12,0,8,4,3,0,4,0,0,32,0,0,0,0,0,0,0,0,0,4,9,3,5,4,4,4,7,0,0,45,180,228,200,157,121,40,48,73,20,1078
POA3715,5,0,3,0,0,0,0,0,0,11,3,0,0,4,0,0,0,6,0,18,12,0,12,11,4,0,3,7,0,58,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,18,25,12,11,5,3,14,7,125
POA3717,21,14,9,10,6,3,5,6,0,77,30,9,11,23,16,4,4,7,0,107,70,25,164,34,19,23,44,45,7,426,0,0,0,4,3,0,0,7,0,18,6,0,10,5,3,4,5,0,0,35,5,3,0,0,4,0,0,0,0,10,3,3,4,9,8,10,0,3,3,40,201,198,203,112,85,52,65,79,18,1011
POA3718,4,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,5,0,3,3,0,0,10,0,34
POA3719,5,0,0,0,3,0,0,0,0,11,4,0,0,7,0,0,0,3,0,13,16,0,9,0,5,0,6,6,0,44,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,25,15,16,13,3,6,9,0,121
POA3720,9,0,0,3,0,3,0,0,0,11,8,6,5,4,10,4,0,4,0,34,17,4,30,8,9,3,6,10,3,95,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,40,36,31,22,12,9,22,3,223
POA3722,34,33,11,24,23,3,3,8,0,141,33,24,23,55,40,4,6,12,0,206,104,19,316,79,54,60,59,61,5,755,0,0,3,9,12,12,4,3,0,45,12,0,5,7,3,9,0,9,0,39,4,0,6,3,0,0,0,0,0,17,9,3,8,10,5,10,3,9,11,50,314,416,395,251,186,117,75,114,23,1891
POA3723,22,7,7,9,11,6,4,0,0,69,25,11,13,21,17,7,3,4,0,114,71,13,113,41,27,28,28,43,3,369,3,0,0,3,4,4,0,0,0,12,5,0,0,5,4,4,0,6,0,26,0,0,0,0,0,0,0,0,0,6,3,0,9,4,4,0,0,5,3,32,248,243,148,138,92,65,49,91,11,1080
POA3725,10,4,0,0,0,0,0,0,0,14,6,0,0,7,0,0,0,0,0,22,15,5,22,6,8,3,11,8,0,79,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,52,32,30,24,20,4,12,19,0,190
POA3726,5,4,0,0,5,0,0,0,0,14,6,3,0,5,0,0,0,0,0,11,18,0,10,4,4,4,4,7,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36,20,11,8,7,3,3,14,0,112
