POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2118,254,137,167,213,154,146,95,81,31,1277,5832,3027,3205,4744,3396,3198,2450,1475,561,27888
POA2119,91,63,42,75,85,84,54,46,24,564,2360,1616,859,1564,1854,1622,1329,900,348,12458
POA2120,156,136,97,104,143,107,84,47,28,901,4017,2674,1763,2896,3296,2651,2003,1244,442,20988
POA2121,263,165,248,241,156,150,103,64,45,1446,6483,4025,5231,5643,4189,3744,2854,1383,650,34209
POA2122,241,196,280,236,217,201,133,104,78,1685,4900,3432,4972,4833,3701,3710,3056,1680,900,31187
POA2125,127,79,85,91,98,95,74,43,14,703,3037,2112,1345,2121,2220,2457,2142,886,291,16620
POA2126,123,99,48,78,106,76,73,64,96,768,3511,2604,1369,2556,2812,2634,2065,1015,511,19082
POA2127,216,117,423,275,121,105,64,21,0,1345,3673,1997,7206,4923,2307,1640,1061,322,63,23198
POA2128,31,175,491,441,219,81,31,14,0,1483,474,398,902,879,474,260,149,53,13,3600
POA2130,35,46,108,66,38,62,43,18,22,445,1004,712,1640,1260,1001,764,521,238,145,7288
POA2131,150,156,294,199,136,175,107,71,39,1325,2701,2711,5272,3531,2561,2378,1816,1237,816,23012
POA2132,77,60,53,66,74,85,63,87,121,683,1690,1264,1422,1388,1475,1351,1006,703,453,10755
POA2133,117,86,81,88,122,80,44,43,16,682,1912,1284,1297,1454,1660,1393,1095,587,245,10929
POA2134,101,225,403,175,127,103,83,70,85,1375,1724,3343,5119,2314,1758,1664,1184,678,428,18224
POA2135,205,366,435,169,148,144,98,65,49,1689,2921,5119,5863,2881,2554,2711,1922,1243,704,25915
POA2136,81,49,85,80,65,51,36,53,34,535,1285,921,1130,1113,1029,973,660,448,202,7763
POA2137,269,234,243,204,239,178,140,66,24,1599,4453,3093,3730,3868,3835,3507,2822,1696,715,27726
POA2138,149,147,308,185,113,121,106,51,34,1216,2863,2142,5312,3550,1972,1746,1290,601,202,19686
POA2140,201,276,489,277,98,99,46,20,7,1504,3112,2784,6897,3732,1606,1370,797,348,123,20766
POA2141,292,271,568,339,282,243,126,78,55,2256,4603,4178,7637,4704,3680,3755,2354,1075,439,32425
POA2142,633,433,662,490,323,275,158,66,19,3062,5126,4087,6558,4324,2819,2386,1687,760,252,27993
POA2143,160,121,120,108,79,83,37,17,7,728,1879,1357,1612,1286,1130,1218,807,340,148,9774
POA2144,679,619,841,550,413,379,255,129,97,3947,6872,6488,9013,5317,4000,3657,2288,1189,515,39333
POA2145,1432,777,1288,1213,771,612,442,368,299,7197,18355,9542,14782,16042,9610,7819,6164,3736,1476,87531
POA2146,268,170,217,222,174,129,60,55,18,1323,3943,2248,3093,3326,2348,1922,1453,857,261,19456
