POA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA2303,54,217,31,34,7,474,160,38,368,100,137,12,809,4,0,26,0,17,0,45,9,0,15,12,49,3,93,16,3,35,6,30,15,105,534,183,1398,435,867,94,3507
POA2304,48,330,69,100,14,741,150,78,536,216,360,23,1372,9,0,29,11,20,0,74,10,0,39,30,121,4,202,11,4,38,19,74,20,162,637,241,1903,838,1949,140,5695
POA2305,52,357,63,82,8,765,202,94,555,180,225,25,1278,8,0,27,12,22,0,64,6,10,28,18,78,3,141,7,5,34,23,46,16,128,699,238,1889,753,1397,116,5100
POA2306,0,8,5,13,0,32,0,0,21,11,76,0,109,0,0,0,0,0,0,4,4,0,0,3,20,0,31,0,0,0,0,13,8,30,8,3,53,43,260,25,394
POA2307,7,72,14,29,0,150,16,17,114,43,117,5,311,0,0,0,5,8,0,14,3,0,12,9,43,0,70,0,0,14,3,18,7,42,92,37,386,195,630,34,1380
POA2308,0,8,5,9,0,20,0,0,0,0,5,0,12,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,12,13,44,4,74
POA2311,5,12,0,5,0,24,3,0,12,3,18,0,34,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,6,0,3,0,9,12,3,63,38,127,9,257
POA2312,0,13,3,10,0,31,4,4,12,18,29,7,70,0,0,0,0,3,0,4,0,0,0,0,9,0,16,0,0,0,0,13,3,17,13,10,58,52,246,28,401
POA2315,47,173,57,77,9,429,57,33,180,150,225,36,682,0,5,15,11,22,0,49,3,6,12,33,99,5,166,6,0,21,29,65,17,135,293,149,907,791,1731,160,4028
POA2316,24,85,32,46,0,212,23,14,93,61,101,8,307,0,0,6,0,12,0,24,0,3,9,20,58,8,93,3,0,6,9,36,7,62,106,49,369,321,967,59,1875
POA2317,12,65,29,24,3,157,17,14,71,59,101,9,263,0,0,4,7,13,3,29,0,0,8,16,68,0,84,3,0,15,7,31,7,59,88,47,352,301,785,51,1622
POA2318,25,159,50,90,4,380,41,32,195,164,305,18,749,0,0,7,8,27,3,41,0,0,13,15,172,6,210,0,0,15,22,73,22,140,185,119,751,788,2371,121,4346
POA2319,5,39,16,32,0,105,12,12,60,74,171,11,344,0,0,5,0,12,0,21,0,0,3,12,51,4,80,0,0,4,6,41,13,60,61,40,198,251,966,58,1575
POA2320,122,539,159,296,18,1307,177,109,682,468,838,64,2349,7,0,26,26,47,0,102,11,7,52,94,502,12,681,18,0,44,58,208,64,397,680,402,2591,2103,6546,349,12671
POA2321,48,268,76,134,10,629,97,76,366,248,455,35,1276,0,4,14,10,27,0,55,3,3,17,47,259,4,336,7,5,24,32,153,23,238,341,200,1324,1114,3594,196,6780
POA2322,45,294,107,152,7,700,106,71,497,263,622,40,1593,0,3,14,8,27,0,50,4,8,29,60,270,8,369,10,0,36,27,140,39,254,379,202,1615,1265,4045,219,7727
POA2323,69,410,121,154,14,917,145,79,532,320,569,49,1702,4,0,12,8,32,3,64,4,6,22,57,261,7,357,4,3,28,33,129,34,238,528,242,1889,1394,3940,247,8240
POA2324,37,190,87,146,9,545,63,45,264,243,512,38,1171,0,4,12,15,30,0,62,9,0,25,51,242,4,329,4,5,28,27,140,39,246,254,144,978,1005,3481,269,6124
POA2325,45,242,76,194,10,641,51,48,268,256,669,47,1337,6,0,14,20,51,4,91,3,5,27,55,305,4,396,9,0,26,32,148,41,252,252,155,1116,1135,4658,284,7613
