POA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
POA6365,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,6,3,0,13
POA6367,0,0,0,0,0,0,0,0,0,5,3,0,4,0,0,0,8,8,0,14
POA6368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6369,0,0,0,0,0,0,0,0,0,8,6,0,10,0,0,0,13,3,0,17
POA6370,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,4,4,0,11
POA6372,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0
POA6373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6375,0,0,0,0,0,0,0,0,0,4,9,0,9,6,0,6,12,0,0,17
POA6383,0,0,0,0,0,0,0,0,0,3,5,0,10,0,0,0,9,16,0,24
POA6384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6390,0,0,0,0,0,0,0,0,0,20,9,6,30,0,0,0,32,21,0,57
POA6391,0,0,0,0,0,0,0,0,0,10,6,0,14,0,0,0,14,4,0,20
POA6392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
POA6393,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,7
POA6394,0,0,0,0,0,0,0,0,0,4,3,0,9,0,0,0,9,0,0,12
POA6395,0,0,0,0,0,0,0,0,0,9,14,0,21,0,4,6,25,10,0,35
POA6396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7
POA6397,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,5
POA6398,0,0,0,0,0,0,0,0,0,7,5,0,10,0,0,0,10,5,0,17
POA6401,0,0,0,0,0,0,6,3,11,98,91,10,204,14,11,23,226,165,4,393
POA6403,0,0,0,0,0,0,0,0,0,4,3,0,5,0,0,0,6,0,0,6
POA6405,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,4,0,10
POA6407,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,10,11,0,23
POA6409,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,11,0,16
POA6410,0,0,0,0,0,0,0,0,3,11,7,0,13,0,0,0,13,22,0,36
POA6411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA6415,0,0,0,0,0,5,5,3,11,25,19,9,53,0,7,7,57,38,4,99
POA6418,0,0,0,0,0,0,0,0,0,3,3,0,9,0,4,3,11,13,0,23
POA6419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA6421,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,3,0,0,3
POA6422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
POA6423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6426,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,10,7,0,22
POA6427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6429,0,0,0,0,0,0,0,6,6,8,4,0,16,0,0,0,18,18,0,44
POA6430,6,10,0,0,0,10,3,22,30,339,117,30,492,16,10,24,520,187,24,730
POA6431,0,0,0,0,0,0,0,0,0,4,5,0,9,4,0,4,6,36,0,43
POA6432,0,3,0,0,0,3,0,8,8,128,53,3,188,5,10,12,203,116,8,325
POA6434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6436,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4
POA6437,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,0,8,0,0,8
POA6438,0,0,0,0,0,0,0,0,0,6,3,0,13,0,0,0,13,8,0,23
POA6440,0,0,0,0,0,0,0,0,0,4,4,0,12,0,0,0,15,17,0,25
POA6442,0,0,0,0,0,0,0,0,6,37,18,8,56,3,3,3,62,30,0,89
POA6443,0,0,0,0,0,0,0,4,4,7,3,0,12,0,0,6,15,10,6,34
POA6445,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4
POA6446,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3
POA6447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6448,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,4,0,11
POA6450,0,4,0,0,0,4,0,6,13,151,100,15,263,8,9,19,286,178,11,468
POA6452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6460,0,0,0,0,0,0,0,0,0,7,6,0,12,0,0,0,13,7,0,22
POA6461,0,0,0,0,0,0,0,0,3,4,3,0,11,0,0,0,11,10,0,16
POA6462,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,5
POA6463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6468,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3
POA6470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6472,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
POA6473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6475,0,0,0,0,0,0,0,0,0,7,3,0,6,0,0,0,6,0,0,3
POA6476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6477,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,8,4,0,9
POA6479,0,0,0,0,0,0,0,0,0,4,5,0,8,0,0,0,8,0,0,10
POA6480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6485,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,6,10,0,14
POA6487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
POA6489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POA6490,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,8,3,0,8
POA6501,0,0,0,0,0,0,0,0,0,11,11,0,21,0,0,0,20,13,0,32
POA6502,0,0,0,0,0,0,0,0,0,11,5,0,26,0,4,4,25,15,0,41
POA6503,0,0,0,0,0,0,5,0,3,30,9,4,39,0,0,0,38,19,0,63
POA6504,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
POA6505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
POA6509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6510,0,0,0,0,0,0,0,3,3,11,23,4,38,4,0,6,40,34,5,81
POA6511,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,8,0,14
POA6512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6513,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0
POA6514,0,0,0,0,0,0,0,0,0,0,6,0,6,4,0,4,6,4,0,11
POA6515,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,7
POA6516,0,0,0,0,0,0,0,0,0,19,15,5,36,0,7,8,43,12,5,61
POA6517,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
POA6518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9
POA6519,0,0,0,0,0,0,0,0,0,10,3,0,11,0,4,4,11,5,0,18
POA6521,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,9
POA6522,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,8,0,0,7
