POA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA3218,44,13,101,36,35,22,7,26,3,280,0,0,0,0,0,0,0,0,0,4,18,31,8,20,10,6,6,9,0,114,16,14,23,9,13,0,6,9,31,118,964,2236,851,697,660,270,199,299,85,6260
POA3219,34,9,157,73,31,42,36,67,4,457,0,0,0,0,0,0,0,0,0,3,9,24,16,20,11,4,8,13,0,102,15,9,35,20,7,10,13,38,22,171,581,1543,1178,1154,681,368,304,508,91,6402
POA3220,50,11,100,51,27,19,12,25,0,302,0,0,0,0,0,3,0,0,0,8,27,27,7,12,18,10,5,10,3,119,11,19,13,6,19,8,5,10,14,101,1160,2845,724,680,683,321,136,283,97,6935
POA3221,5,0,3,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,4,5,0,0,0,0,5,0,0,6,80,109,28,22,33,11,9,17,4,312
POA3222,48,3,150,60,31,46,21,40,6,399,0,0,0,0,0,0,0,0,0,7,15,16,7,14,13,7,4,8,4,85,4,10,26,11,13,12,6,20,25,129,765,1480,1116,879,609,283,225,401,100,5856
POA3223,15,4,42,22,13,8,7,15,6,135,0,0,0,5,0,0,0,0,0,3,3,8,0,3,7,0,3,0,0,31,10,0,15,18,9,7,5,10,8,84,382,621,410,326,293,124,106,158,53,2471
POA3224,19,9,120,63,45,29,15,32,3,333,0,0,0,0,0,0,0,0,0,3,4,16,6,10,7,3,6,10,3,66,12,12,22,7,15,8,12,15,23,134,554,1190,948,753,553,261,223,311,80,4873
POA3225,5,0,20,0,3,9,0,3,0,44,0,0,0,0,0,0,0,0,0,0,13,11,4,0,7,3,0,0,0,44,10,0,10,4,4,0,0,9,7,44,309,607,202,161,170,78,18,62,40,1645
POA3226,44,14,110,48,32,28,12,28,0,304,0,0,0,0,0,0,0,0,0,0,23,20,14,19,20,7,7,5,6,116,24,21,25,24,18,15,9,18,10,160,988,2257,984,782,659,276,122,241,91,6393
POA3227,16,4,21,3,3,5,0,0,0,61,0,0,0,0,0,0,0,0,0,0,11,14,0,3,3,0,0,4,0,48,8,7,7,8,4,6,0,5,5,52,416,749,237,161,200,95,22,48,27,1956
POA3228,49,19,106,45,50,41,5,29,0,354,0,0,0,0,0,0,0,0,0,4,38,43,15,29,20,5,5,9,9,169,33,24,28,14,17,13,4,23,31,182,1742,3476,1270,998,901,472,132,315,118,9429
POA3230,8,0,19,11,0,8,0,4,0,52,0,0,0,0,0,0,0,0,0,0,3,11,4,10,0,0,3,0,0,28,5,3,5,4,0,3,0,0,0,22,218,426,155,125,97,46,18,45,21,1154
POA3231,5,0,6,3,6,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,13,130,230,63,52,53,38,3,29,5,602
POA3232,8,0,18,5,0,3,0,5,0,41,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,3,0,8,0,0,6,0,0,0,15,105,98,74,50,43,35,8,36,4,456
POA3233,11,0,30,0,12,10,0,9,0,79,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,7,3,7,3,3,3,10,0,4,5,30,156,151,116,66,76,59,15,73,15,723
POA3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,28,21,14,3,3,4,0,15,0,84
POA3235,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,9,40,57,35,21,13,10,6,11,3,191
POA3236,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,29,8,12,10,0,0,7,0,86
POA3237,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,33,11,10,14,3,4,8,3,0,83
POA3238,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,32,32,10,4,3,10,6,4,0,101
POA3239,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,32,20,15,10,0,5,11,0,129
POA3240,10,0,9,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,0,8,0,0,4,3,3,5,0,0,0,21,178,235,164,89,73,31,27,40,7,846
POA3241,7,0,12,8,4,3,0,0,0,39,0,0,0,0,0,0,0,0,0,0,5,0,3,4,4,0,7,3,0,20,6,4,8,4,0,0,3,13,0,38,176,237,206,133,83,43,52,72,13,1021
POA3242,4,0,17,4,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,6,0,0,3,0,0,0,0,14,68,94,61,36,33,12,17,13,6,339
POA3243,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,52,32,14,8,10,8,6,17,0,149
POA3249,11,0,5,14,5,0,5,8,0,55,0,0,0,0,0,0,0,0,0,0,8,5,0,6,4,0,0,0,0,22,13,0,4,3,3,4,5,6,9,38,262,204,124,140,93,47,76,99,15,1071
POA3250,23,3,106,39,20,25,23,63,3,308,0,0,0,0,0,0,0,3,0,3,12,6,3,7,13,4,4,9,0,54,14,8,19,7,10,10,12,33,27,136,379,615,606,598,293,171,195,478,60,3389
POA3251,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,6,6,5,0,0,0,0,0,4,0,8,41,39,18,14,17,7,13,18,5,174
POA3254,6,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,18,16,26,14,14,6,9,9,0,115
POA3260,11,4,26,9,5,3,0,12,4,89,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,5,0,19,20,6,3,7,5,3,0,4,7,57,271,329,200,169,99,59,58,112,27,1324
POA3264,0,0,15,8,3,3,0,8,0,36,0,0,0,0,0,0,0,0,0,0,6,4,4,0,0,3,4,0,0,16,0,6,3,5,0,4,7,5,4,32,81,114,98,119,56,34,43,56,14,622
POA3265,10,0,14,9,5,5,0,12,0,56,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,15,24,0,6,5,3,4,0,5,0,48,301,166,122,100,68,22,26,96,12,921
POA3266,11,4,21,6,0,0,5,10,0,60,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,13,9,0,4,3,0,0,4,15,4,43,196,127,123,88,54,27,60,108,8,795
POA3267,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,15,18,5,6,3,0,3,7,0,62
POA3268,7,0,15,0,0,0,0,7,0,34,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,17,20,0,4,0,0,5,6,9,5,52,240,121,110,71,50,21,46,100,13,784
POA3269,8,0,9,0,4,0,0,5,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,4,0,9,90,46,34,15,16,9,11,33,5,259
POA3270,3,0,3,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,26,23,27,9,5,6,0,8,4,114
POA3271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,8,3,3,0,0,0,7,0,48
POA3272,5,0,8,5,0,0,0,8,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,5,0,0,5,0,0,11,93,79,64,53,39,17,23,42,6,413
POA3273,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,0,4,0,0,0,8,0,50
POA3274,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,35,14,4,0,3,0,0,5,0,70
POA3275,6,0,6,4,4,0,4,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,23,28,41,21,23,3,18,12,0,168
POA3276,6,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,54,18,15,16,13,0,5,11,0,133
POA3277,3,0,20,8,0,8,0,10,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,5,4,6,5,0,0,7,3,4,29,121,124,100,69,58,33,38,49,14,606
POA3278,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,16,20,14,7,13,14,8,0,121
POA3279,7,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,31,16,15,14,5,3,3,8,3,96
POA3280,85,23,271,135,61,89,21,116,10,814,0,0,0,5,0,0,0,11,0,13,21,29,23,22,14,11,10,11,7,147,28,22,33,24,19,28,17,71,45,284,1246,3103,1687,1608,1061,572,337,839,147,10601
POA3281,5,0,14,9,5,0,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,10,3,5,0,0,0,4,0,4,0,18,121,182,137,78,69,28,24,50,9,699
POA3282,13,5,23,13,7,11,5,8,0,73,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,14,5,3,0,6,0,0,6,0,9,28,104,203,154,136,76,40,45,59,11,837
POA3283,3,0,13,0,0,3,0,3,0,27,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,7,6,0,3,3,0,0,0,3,3,19,115,114,75,59,42,22,11,36,15,490
POA3284,17,0,36,20,3,3,0,11,0,87,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,20,18,4,0,0,3,3,0,0,8,43,254,388,170,137,101,47,25,65,21,1206
POA3285,4,0,3,3,0,3,0,6,0,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,4,19,110,108,56,39,27,15,23,37,8,420
POA3286,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,38,30,19,8,17,3,5,14,6,155
POA3287,0,0,4,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,33,27,18,13,6,4,3,26,0,129
