POA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA2000,98,12,347,152,64,61,27,87,8,842,4,4,5,3,0,6,0,10,0,29,40,45,13,25,17,11,5,9,9,179,33,37,47,41,22,19,10,56,96,361,2181,4627,1232,1258,1226,863,304,1048,305,13053
POA2007,16,5,62,36,12,9,4,13,3,151,0,0,0,0,0,0,0,0,0,6,12,22,0,10,5,3,4,8,0,54,8,10,5,4,3,4,3,3,21,70,425,1268,285,360,317,203,99,240,64,3248
POA2008,30,7,59,33,12,7,3,16,0,164,0,0,0,0,0,3,0,0,0,7,12,31,7,10,7,8,0,3,0,81,0,12,7,10,9,4,3,0,21,75,710,2343,318,380,476,266,76,153,65,4788
POA2009,53,13,99,50,19,14,8,13,3,264,0,6,0,0,0,0,0,0,0,5,26,15,3,10,11,3,0,3,3,86,20,16,14,12,10,5,0,14,20,109,1382,2525,400,459,617,317,106,216,121,6148
POA2010,76,23,198,75,48,29,8,33,9,501,0,4,4,0,0,0,0,0,0,15,73,124,23,19,34,23,8,7,11,310,39,46,21,23,24,21,6,23,54,256,3087,7317,759,813,1287,710,149,383,241,14745
POA2011,70,20,121,37,41,27,6,21,5,348,0,0,0,0,0,0,0,0,0,4,63,79,6,6,32,13,0,3,4,218,24,36,8,12,12,13,0,8,24,129,2194,4568,542,572,978,474,88,200,150,9768
POA2015,36,12,65,22,24,17,6,10,0,197,3,0,0,0,0,0,0,0,0,7,40,41,7,7,11,10,0,4,0,129,20,32,12,6,10,9,7,0,25,117,1459,3182,439,349,654,341,94,124,88,6724
POA2016,40,14,92,14,21,22,4,11,0,211,0,0,0,0,0,0,0,0,0,0,23,60,10,11,15,3,0,3,0,130,10,26,3,9,6,6,0,10,25,104,1111,3104,394,376,612,287,92,198,122,6293
POA2017,115,43,207,78,64,39,9,34,0,592,4,0,0,5,0,7,0,0,0,19,45,73,27,12,28,16,8,5,5,217,30,54,29,24,24,16,14,20,64,279,2570,6537,1217,864,1530,838,245,469,223,14496
POA2018,47,10,116,45,34,25,15,30,0,333,0,3,3,0,0,0,0,0,0,13,13,39,12,11,15,11,7,6,5,115,21,28,20,15,11,11,9,22,42,182,1390,3102,877,678,1068,489,263,308,134,8307
POA2019,39,11,58,36,54,26,20,15,5,263,0,0,0,0,0,0,0,0,0,0,18,7,5,10,8,13,6,4,0,81,16,9,9,13,24,14,8,14,26,131,1040,1690,681,475,753,304,175,215,86,5425
POA2020,56,15,210,96,59,41,22,59,6,574,0,0,0,0,0,3,0,4,0,13,15,35,12,13,20,6,6,9,4,129,11,30,36,22,22,14,13,23,71,245,1300,3319,1184,905,1277,667,388,606,212,9871
POA2021,40,16,61,30,17,17,8,8,0,189,0,0,0,0,0,0,0,0,0,5,39,55,5,7,21,11,0,3,3,150,27,32,7,3,12,9,0,7,20,115,1840,4043,312,307,669,413,47,90,128,7853
POA2022,27,7,69,25,15,17,4,16,3,184,0,0,0,0,0,0,0,0,0,7,19,35,4,11,8,7,3,3,5,102,21,32,18,7,4,9,0,13,38,144,1326,2765,458,386,580,328,77,193,123,6236
POA2023,26,6,27,15,24,7,0,3,4,105,0,0,0,0,4,0,0,0,0,3,23,30,3,7,8,6,0,0,0,77,17,20,6,6,8,0,0,0,16,77,1127,2222,208,206,437,282,28,53,129,4688
POA2024,18,8,27,15,10,7,0,4,0,96,0,0,0,0,0,0,0,0,0,8,26,47,4,5,17,6,0,4,0,105,21,16,9,3,9,5,0,3,15,84,1215,2513,316,250,462,244,34,66,94,5191
POA2025,12,3,19,8,0,5,0,4,0,51,0,3,0,0,0,0,0,0,0,5,13,22,0,3,3,0,0,0,0,51,6,20,0,6,9,0,6,0,15,53,775,1716,102,119,261,174,13,27,72,3256
POA2026,70,29,143,65,40,30,10,22,0,413,0,3,0,0,0,5,0,0,0,6,69,126,18,13,30,15,4,6,14,293,46,77,35,18,34,24,17,15,84,346,3773,7612,1065,884,1325,960,223,326,346,16515
POA2027,9,9,21,10,14,6,0,5,0,75,0,0,0,0,0,0,0,0,0,0,25,28,6,0,11,4,0,0,0,70,13,14,3,0,6,4,0,0,20,54,919,1665,116,127,316,202,17,37,98,3486
POA2028,8,0,14,4,5,4,0,0,0,40,0,0,0,0,0,0,0,0,0,0,16,12,0,4,4,0,0,0,4,38,12,10,4,3,0,3,0,0,3,37,543,1111,77,82,208,122,8,25,59,2238
POA2029,22,11,37,9,17,9,0,5,0,114,0,0,0,0,0,0,0,0,0,3,11,23,4,4,14,10,0,0,9,72,10,10,7,13,5,10,0,3,23,81,1056,1787,239,251,442,260,43,73,99,4250
POA2030,26,13,27,17,18,11,0,4,0,119,0,0,0,0,0,0,0,0,0,6,29,36,8,11,12,3,0,0,0,99,25,23,3,7,12,11,0,3,29,104,1462,2463,215,244,577,335,18,64,140,5520
POA2031,57,35,121,51,58,27,12,16,9,388,0,0,0,0,0,0,0,0,0,6,64,116,19,21,49,19,8,3,4,300,34,44,28,16,28,9,9,16,53,243,3201,7684,1221,939,1569,739,209,320,234,16128
POA2032,22,4,51,24,18,13,10,26,4,185,0,4,0,0,0,0,0,0,0,5,12,26,8,4,7,9,3,8,4,74,7,18,21,11,18,4,9,9,23,119,760,2304,534,453,630,305,170,255,91,5501
POA2033,12,11,62,16,20,12,6,13,0,162,4,5,0,0,0,3,0,0,0,10,19,25,6,3,4,12,0,7,0,78,4,19,15,3,11,5,7,3,15,83,752,2108,414,332,561,266,100,169,72,4771
POA2034,36,21,94,34,39,14,3,8,4,257,0,3,0,0,4,0,0,0,0,5,41,59,16,6,29,16,4,3,3,171,20,23,15,12,12,18,0,4,50,157,2154,4491,758,598,948,454,83,162,174,9823
POA2035,65,19,123,55,62,24,15,37,8,408,0,5,0,3,0,0,0,5,0,12,39,61,23,21,28,17,5,3,6,203,29,46,27,28,21,16,6,20,50,253,2541,5331,1359,1075,1541,669,315,518,225,13576
POA2036,54,19,130,76,72,38,26,48,8,472,0,4,3,0,0,3,0,0,0,13,40,43,9,20,31,12,8,15,7,184,33,32,34,27,32,18,17,42,56,284,1991,3783,1487,1072,1501,659,411,532,201,11635
POA2037,41,12,59,24,19,20,8,9,4,180,3,0,0,4,4,0,0,0,0,6,37,70,14,19,31,7,0,7,6,190,7,22,4,7,15,5,6,8,22,98,1477,3904,398,446,745,332,89,166,133,7685
POA2038,18,7,20,9,11,7,3,0,0,80,0,0,0,0,0,0,0,0,0,4,27,19,0,5,11,8,0,0,4,79,6,13,3,6,4,4,0,0,10,45,1031,2277,275,241,439,200,38,58,57,4612
POA2039,20,9,29,11,14,4,3,4,0,91,0,0,0,0,0,0,0,0,0,0,17,18,3,3,11,3,0,0,0,66,18,14,3,3,4,7,0,0,6,61,1167,1916,246,164,384,189,40,64,49,4212
POA2040,43,20,84,35,35,24,7,16,5,270,0,0,0,0,0,0,0,0,0,3,53,60,3,19,30,8,0,7,5,190,30,31,13,10,22,7,5,7,29,152,2430,4834,667,597,1054,430,115,143,126,10404
POA2041,29,9,27,12,16,7,0,5,5,117,0,0,0,0,0,0,0,0,0,3,29,66,5,6,18,13,5,3,5,143,18,13,5,3,10,8,0,0,18,80,1988,3485,315,288,649,310,48,61,89,7229
POA2042,48,14,94,51,19,32,6,7,3,281,0,0,0,0,0,0,0,0,0,5,56,100,11,13,37,11,5,0,8,253,28,36,11,6,11,12,3,6,34,147,1817,4992,688,613,989,414,118,199,138,9972
POA2043,29,12,31,20,21,9,7,3,4,131,0,0,0,0,0,0,0,0,0,4,35,53,10,10,25,11,0,0,0,141,11,15,4,0,4,4,0,0,21,62,1285,3110,334,260,574,238,41,67,81,5994
POA2044,22,6,47,11,15,3,4,9,0,127,0,0,0,0,3,0,0,0,0,8,28,21,6,0,12,0,3,6,0,86,8,17,13,0,6,4,0,4,17,71,785,1679,361,231,475,176,94,123,49,3971
POA2045,16,0,18,7,15,10,5,6,0,67,0,0,0,0,0,0,0,0,0,0,10,11,5,4,6,3,0,0,0,38,7,8,3,3,3,8,0,3,0,41,536,1100,188,133,294,129,33,46,20,2483
POA2046,65,18,103,33,64,38,9,13,9,346,0,0,0,0,0,0,0,0,0,5,46,55,12,17,18,12,0,3,3,164,24,31,21,14,29,16,8,16,36,188,2592,4362,935,602,1396,610,167,245,175,11089
POA2047,41,10,33,25,30,16,5,6,0,158,0,0,0,0,0,0,0,0,0,5,22,36,9,3,7,10,4,0,0,89,13,14,10,10,15,4,0,4,17,78,1309,2318,346,267,605,271,46,81,89,5344
POA2048,20,0,26,18,14,10,5,4,0,90,0,5,0,0,0,0,0,0,0,5,28,34,4,3,14,13,0,6,0,94,4,9,0,6,9,4,0,6,9,44,692,1946,268,250,426,170,56,77,31,3910
POA2049,21,9,47,25,14,10,3,12,0,147,0,0,0,0,0,0,0,0,0,4,33,69,10,10,23,7,0,0,3,156,4,13,7,7,17,4,4,6,24,85,1090,2948,404,362,669,220,68,147,64,5969
POA2050,21,14,45,11,15,3,3,5,0,115,0,0,0,0,0,0,0,0,0,0,24,38,11,3,16,7,3,4,4,108,4,20,0,5,9,0,0,3,12,53,943,2556,302,256,453,194,50,53,60,4854
POA2060,20,12,50,27,13,12,0,5,0,144,0,0,0,0,0,0,0,0,0,0,27,48,5,7,22,5,5,0,7,129,17,23,9,9,18,4,4,3,26,115,1737,4035,380,362,879,342,47,113,142,8044
POA2061,17,0,12,8,10,4,0,6,0,52,0,0,0,0,0,0,0,0,0,0,11,16,5,0,9,5,0,0,0,45,9,10,0,0,8,3,0,0,9,40,814,1564,93,96,312,161,7,33,50,3140
POA2062,19,12,16,15,15,11,0,4,0,86,0,0,0,0,0,0,0,0,0,3,24,18,4,3,12,5,0,0,0,54,6,7,0,0,0,0,0,0,0,24,880,1652,157,163,362,151,17,36,37,3458
POA2063,18,3,6,7,9,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,11,8,0,0,6,0,0,0,6,36,3,9,0,0,0,0,0,0,6,20,655,1149,81,84,258,114,13,19,64,2433
POA2064,13,6,31,11,15,6,4,3,0,93,0,0,0,0,0,0,0,0,0,0,11,13,5,3,3,3,6,0,0,44,4,8,6,9,7,0,0,0,17,59,726,2127,235,245,479,185,66,93,66,4223
POA2065,78,18,107,44,55,23,0,15,3,351,0,4,0,4,0,0,0,3,0,9,62,102,3,9,48,21,7,5,7,272,38,44,17,5,23,9,0,5,50,199,3872,8593,836,757,1768,686,113,219,244,17086
POA2066,82,26,122,52,59,32,10,8,4,397,0,0,0,0,3,0,0,0,0,11,53,75,4,9,35,13,9,7,6,214,30,36,10,7,28,8,5,4,45,181,3513,7429,935,804,1746,731,156,247,246,15814
POA2067,47,18,125,49,29,31,7,27,3,325,0,0,0,0,3,0,0,0,0,6,36,41,9,7,15,16,0,4,3,140,25,29,22,20,27,20,5,7,45,199,2066,4824,705,706,1338,693,161,307,203,11002
POA2068,29,17,33,18,24,17,0,6,0,141,0,0,0,0,0,0,0,0,0,0,33,33,7,7,17,0,3,3,6,112,16,20,7,4,10,6,3,0,19,95,1766,3206,332,309,775,374,87,93,101,7041
POA2069,16,6,28,11,5,6,3,8,0,91,0,0,0,0,0,0,0,0,0,3,22,25,10,6,19,5,0,3,0,90,7,16,3,7,9,0,3,0,18,63,1438,2816,259,256,620,269,52,87,112,5899
POA2070,12,6,21,11,13,11,0,6,0,83,0,0,0,0,0,0,0,0,0,3,14,15,0,3,15,7,0,0,0,62,11,15,4,3,3,4,0,0,17,64,1382,2815,241,233,621,265,47,63,99,5768
POA2071,9,3,26,8,13,12,3,7,0,74,0,0,0,0,8,0,0,0,0,7,20,26,0,9,14,5,6,0,6,76,13,16,4,0,6,10,3,3,18,76,1161,2477,224,225,646,267,42,87,90,5217
POA2072,13,4,23,4,6,4,4,0,0,65,0,0,0,0,0,0,0,0,0,3,10,14,3,4,6,7,0,0,0,51,13,14,7,4,7,7,0,4,23,69,814,1763,192,184,411,206,44,53,73,3743
POA2073,23,11,24,12,21,7,0,11,0,108,0,0,0,0,0,0,0,0,0,0,25,31,5,12,16,0,0,0,3,92,16,15,9,0,9,8,0,0,28,86,1806,3325,320,275,791,324,53,88,114,7097
POA2074,28,11,25,13,28,15,3,0,0,125,0,6,0,0,0,0,0,0,0,8,39,52,7,8,14,13,3,0,5,138,26,21,4,4,19,12,0,4,19,98,2237,4224,388,424,1081,368,65,101,129,9014
POA2075,29,11,42,26,19,14,5,7,0,165,0,0,0,0,5,0,0,0,0,3,26,41,0,10,23,13,4,5,4,124,18,16,7,8,11,8,5,0,26,100,2081,3510,424,378,989,454,98,110,148,8189
POA2076,31,15,41,27,36,12,5,13,5,183,3,0,0,0,0,0,0,0,0,5,23,49,6,12,19,9,0,3,4,136,15,17,8,5,9,9,0,5,26,89,2175,4418,536,572,1177,392,84,173,144,9664
POA2077,68,15,193,96,66,46,29,70,4,586,0,4,3,8,3,0,0,5,0,22,37,70,25,24,41,15,7,15,3,250,24,37,34,24,28,21,13,28,75,283,2555,7630,1638,1755,2278,904,356,729,278,18124
POA2079,15,0,37,22,17,9,4,10,0,119,0,0,0,0,0,0,0,0,0,0,10,8,4,0,10,3,3,3,3,45,0,9,11,5,11,6,3,5,12,51,576,1232,388,306,413,140,79,120,30,3283
POA2080,9,0,11,3,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,4,133,260,97,58,91,32,14,20,4,720
POA2081,21,5,16,8,8,4,3,4,0,67,0,0,0,0,0,0,0,0,0,0,3,10,0,4,4,4,0,3,0,28,7,3,0,4,6,0,0,0,6,25,445,821,249,185,319,89,41,76,28,2253
POA2082,13,4,29,9,12,4,4,8,0,80,0,0,0,0,0,0,0,0,0,4,6,12,3,3,7,0,0,4,0,32,7,3,4,0,0,0,5,0,10,25,401,776,312,189,294,93,45,70,21,2200
POA2083,5,0,13,8,0,6,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,7,0,4,4,4,3,0,0,3,0,23,146,213,101,49,76,25,9,37,11,662
POA2084,12,3,18,3,8,3,3,3,0,49,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,3,0,0,0,15,14,0,4,0,0,0,0,0,4,21,327,420,195,93,170,74,34,48,12,1372
POA2085,24,4,27,21,24,12,4,11,0,128,0,0,0,0,0,0,0,0,0,0,22,20,3,5,9,0,0,0,5,69,10,14,5,0,15,3,3,0,8,63,1003,1483,384,282,552,226,71,90,51,4141
POA2086,26,11,49,22,31,14,4,5,0,157,0,0,0,0,0,0,0,4,0,10,20,22,0,8,12,7,4,0,3,83,16,10,15,5,14,6,4,8,16,92,1324,2002,567,380,680,267,100,132,57,5508
POA2087,20,8,21,13,13,8,0,4,6,101,0,0,0,0,0,0,0,0,0,6,17,20,4,5,6,3,5,0,0,61,21,22,14,9,4,3,4,0,9,87,1184,1932,371,324,572,228,73,102,53,4841
POA2088,57,20,72,30,28,26,0,11,0,248,0,5,0,0,0,0,0,0,0,4,59,84,11,16,22,15,0,0,9,219,21,42,10,7,22,12,0,10,34,160,3146,5477,473,492,1198,648,85,159,281,11950
POA2089,32,9,42,22,22,12,3,4,4,156,0,0,0,0,0,0,0,0,0,3,24,32,3,8,17,0,0,0,5,93,9,17,8,4,6,8,6,0,12,64,1408,2793,309,301,635,318,55,69,94,5977
POA2090,22,11,45,22,16,10,4,13,0,144,0,0,0,0,0,0,0,0,0,6,28,44,7,3,17,3,0,0,6,107,24,23,7,3,16,4,5,6,18,111,1684,3061,314,322,679,304,43,98,101,6608
POA2092,8,5,9,13,9,8,0,0,0,56,0,0,0,0,0,0,0,0,0,0,9,13,0,3,4,0,4,0,3,36,10,10,3,3,10,0,0,0,11,46,878,1153,149,146,272,141,23,27,44,2824
POA2093,40,17,111,45,39,19,8,22,0,305,0,0,0,5,0,0,0,0,0,5,45,50,13,14,17,7,8,3,4,157,18,29,11,8,22,7,3,10,32,146,2548,3963,728,628,1048,530,144,163,138,9891
POA2094,16,4,17,6,5,0,4,4,5,54,0,0,0,0,0,0,0,0,0,0,14,23,3,0,11,0,0,0,0,54,4,7,4,0,11,4,0,4,8,32,741,1293,170,169,277,146,33,50,45,2918
POA2095,41,20,45,24,13,7,5,9,0,161,0,0,0,0,0,0,0,0,0,5,27,35,8,5,20,0,0,0,0,102,24,30,11,10,7,10,3,0,19,111,2113,3731,450,394,668,430,86,108,131,8112
POA2096,40,18,75,24,13,18,4,5,3,207,0,0,0,4,0,0,0,0,0,5,21,33,6,8,16,3,5,0,4,101,15,21,13,14,9,6,4,10,31,125,1739,2858,731,497,659,353,92,131,112,7177
POA2097,42,16,68,31,35,17,5,16,0,233,0,0,0,0,0,0,0,0,0,3,13,24,9,6,15,8,0,4,0,79,17,14,26,6,11,11,4,7,21,112,1419,2070,873,507,775,348,140,160,74,6370
POA2099,115,32,278,113,104,77,32,68,6,817,0,0,0,3,0,3,0,0,0,13,50,50,28,19,29,23,18,17,14,247,44,51,55,35,38,25,23,25,61,365,3261,5528,2278,1897,1991,1063,556,845,271,17689
POA2100,53,16,124,51,39,27,5,16,4,341,0,0,0,0,0,0,0,0,0,5,36,29,16,12,16,8,6,5,4,126,24,25,27,14,26,12,14,16,23,161,1953,2854,1022,707,1064,490,189,276,108,8661
POA2101,47,22,76,38,49,28,8,12,4,289,0,0,0,0,0,0,0,0,0,3,24,23,16,10,13,8,6,4,4,109,20,23,26,20,15,7,9,7,19,138,1604,2487,1121,672,887,398,183,210,103,7657
POA2102,27,13,31,18,20,10,4,6,0,122,0,3,0,0,0,0,0,0,0,3,3,14,5,7,3,3,0,0,0,32,4,10,5,11,0,11,0,0,7,52,685,995,375,287,405,177,55,80,44,3118
POA2103,28,6,36,21,25,12,7,4,0,140,0,0,0,0,0,0,0,0,0,0,13,25,7,5,6,0,9,0,0,60,14,7,6,8,13,6,0,7,18,75,820,1266,567,336,485,237,84,108,70,3978
POA2104,7,0,13,7,8,4,0,4,0,42,0,0,0,0,0,0,0,0,0,0,8,4,3,0,0,0,0,0,0,16,5,6,3,4,4,0,0,0,5,21,320,361,97,71,128,56,19,27,23,1105
POA2105,3,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,11,5,0,0,0,4,4,0,0,4,17,198,287,70,44,67,34,7,17,23,753
POA2106,16,8,54,25,15,15,4,4,5,142,0,0,0,0,0,0,0,0,0,0,18,19,4,5,3,0,0,0,0,59,5,13,3,4,7,8,0,10,9,59,942,1351,515,271,433,232,55,106,61,3966
POA2107,35,17,48,27,36,14,4,8,0,197,0,0,0,0,0,0,0,0,0,3,22,31,3,10,3,4,6,4,6,90,20,9,6,9,14,11,0,12,21,102,1381,2054,634,366,573,304,90,155,92,5643
POA2108,0,3,3,5,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,0,0,0,0,13,3,4,3,0,0,4,0,3,4,22,160,235,57,24,62,47,0,16,22,618
POA2110,21,7,11,12,14,3,0,8,0,81,0,0,0,0,0,0,0,0,0,0,12,16,3,4,9,7,0,0,0,43,14,11,0,3,4,3,0,0,9,43,968,1535,173,133,418,179,29,42,58,3536
POA2111,48,16,83,24,28,19,0,12,5,245,0,0,0,0,0,0,0,0,0,3,24,28,12,7,14,8,3,0,7,103,17,19,15,5,14,4,6,3,15,91,1591,2702,539,388,823,347,90,136,82,6702
POA2112,87,25,181,69,77,52,21,29,12,549,4,0,4,0,5,0,0,3,0,18,41,46,6,13,35,18,5,9,6,187,29,55,30,19,26,20,5,9,57,254,2731,6255,1503,1089,2120,908,308,413,249,15579
POA2113,43,14,119,34,39,38,8,20,4,328,0,0,0,0,0,0,5,0,0,11,31,40,8,8,31,6,3,6,7,144,26,41,11,13,17,11,5,5,54,172,1977,5680,965,661,1527,704,216,332,197,12249
POA2114,35,14,113,38,51,32,14,33,9,338,0,4,0,0,0,6,0,0,0,7,18,37,11,17,34,12,9,5,5,143,21,30,16,11,21,13,4,9,48,180,1680,4748,974,800,1478,556,234,379,181,11032
POA2115,31,7,59,22,26,14,9,15,0,176,0,0,3,0,0,0,0,0,0,4,11,15,11,9,11,3,3,8,0,71,4,11,17,10,16,6,6,9,27,106,722,1447,601,345,632,227,132,161,66,4333
POA2116,16,0,24,14,13,16,10,10,0,100,0,0,0,0,0,0,0,0,0,0,6,0,6,0,4,0,5,0,0,29,3,8,9,4,14,0,0,0,18,57,391,800,312,207,379,150,100,89,48,2483
POA2117,43,7,59,33,44,27,22,20,0,246,0,0,0,0,3,0,0,0,0,4,17,15,15,11,9,3,3,4,6,91,20,16,14,12,26,11,7,8,43,158,1222,2604,808,620,1125,412,233,267,155,7444
POA2118,36,14,79,24,35,25,16,22,0,253,0,0,4,0,0,0,0,0,0,8,17,41,10,10,25,12,6,3,6,131,20,34,19,15,25,7,4,10,48,185,1512,4078,897,749,1430,546,262,309,193,9971
POA2119,15,5,19,12,8,4,4,5,0,71,0,0,0,0,0,0,0,0,0,0,15,13,0,0,7,8,5,0,0,51,12,19,3,4,8,0,5,0,9,64,1063,2342,271,232,621,206,45,79,54,4910
POA2120,31,8,58,26,46,11,3,12,3,199,0,0,0,4,0,0,0,0,0,4,24,40,4,10,17,13,0,5,0,125,13,19,9,11,6,5,3,11,17,96,1697,3775,689,578,1120,372,119,204,88,8653
POA2121,33,8,94,41,33,35,5,23,0,282,0,3,0,0,4,0,0,3,0,11,33,57,13,16,26,11,8,3,3,171,26,45,28,14,27,7,9,9,48,207,2225,7014,942,836,1767,731,239,339,203,14295
POA2122,42,17,98,38,38,37,19,31,0,324,0,0,3,0,0,0,0,0,0,6,22,46,9,19,29,4,6,11,4,141,19,46,29,20,19,13,6,16,66,231,1744,5068,1027,858,1579,700,285,389,216,11866
POA2125,20,11,28,8,26,12,4,11,0,128,0,0,0,0,6,0,0,0,0,5,14,26,7,5,24,9,5,3,0,92,17,9,4,4,15,8,5,0,19,80,1468,2910,430,315,881,304,86,120,102,6613
POA2126,29,6,29,14,24,10,6,11,4,133,0,4,0,0,0,4,0,0,0,9,15,31,3,9,28,10,3,4,4,112,15,22,8,4,21,9,0,5,17,95,1541,3350,504,437,1101,330,117,135,127,7643
POA2127,66,19,110,53,56,24,11,25,7,370,0,0,0,0,0,0,0,0,0,6,30,46,3,9,27,12,9,6,3,150,26,22,22,10,27,27,12,14,56,212,2055,4693,813,683,1478,651,240,293,199,11096
POA2128,7,0,19,0,5,4,0,4,0,46,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,18,0,5,7,0,4,0,3,3,11,24,113,257,109,77,110,34,44,35,19,802
POA2130,10,5,32,15,8,6,0,3,0,83,0,0,0,0,0,0,0,0,0,0,18,31,4,6,7,8,0,5,8,87,7,8,3,4,10,0,0,6,15,51,634,1844,247,220,408,156,53,80,60,3694
POA2131,40,17,124,61,25,35,11,43,5,363,0,0,4,0,0,0,0,8,0,17,31,64,20,18,40,13,11,16,3,222,17,34,21,22,22,15,10,21,46,207,1216,4086,867,946,1189,545,252,553,156,9813
POA2132,19,0,34,9,9,9,6,6,0,97,0,4,0,0,0,0,0,0,0,4,16,25,3,3,7,7,0,0,0,62,9,12,7,5,10,3,3,10,18,83,678,1726,305,256,547,246,72,120,66,4022
POA2133,24,13,36,16,33,12,9,4,0,148,0,0,0,0,0,0,0,0,0,5,7,9,3,9,8,0,3,3,0,50,13,16,18,3,20,9,3,9,14,91,608,1364,390,295,560,193,109,111,70,3702
POA2134,19,4,99,41,14,17,10,36,0,244,0,0,3,0,0,4,4,9,0,18,14,21,6,5,20,7,0,6,4,85,12,26,17,18,18,13,7,27,67,203,765,2407,578,689,820,493,209,544,166,6661
POA2135,51,9,132,37,25,28,11,48,5,345,0,0,0,0,0,8,4,7,0,19,18,49,10,11,25,13,9,10,0,149,21,29,27,12,25,17,10,29,78,254,1397,4151,829,956,1195,736,258,904,206,10626
POA2136,9,3,28,15,10,4,5,12,3,96,0,0,0,0,0,0,0,0,0,0,4,10,6,10,13,5,5,0,0,50,9,6,8,7,8,5,6,3,15,69,438,1034,266,215,424,147,89,105,63,2784
POA2137,68,14,100,56,52,34,11,26,3,362,0,3,0,0,0,5,0,0,0,11,26,40,16,9,27,7,9,5,0,138,24,33,18,10,41,13,3,14,49,205,2303,4199,948,690,1560,626,179,298,187,11007
POA2138,41,14,84,35,27,14,10,21,4,263,0,0,0,0,0,0,0,0,0,3,15,29,12,9,10,4,3,9,9,102,28,34,9,12,15,11,3,5,40,154,1533,4036,677,530,1168,483,159,260,151,9009
POA2140,30,12,147,48,37,34,20,36,3,369,0,0,0,0,0,0,0,0,0,6,11,38,8,17,31,11,16,14,3,161,5,33,24,17,20,16,29,26,67,233,914,3454,837,865,1081,645,414,680,238,9137
POA2141,41,9,193,66,39,38,40,50,11,484,0,0,0,0,0,0,5,5,0,17,15,26,22,17,18,11,13,17,5,147,16,23,45,31,31,19,29,61,115,368,1101,3376,1090,1091,1277,649,517,807,288,10192
POA2142,26,15,100,44,24,15,31,61,6,316,0,0,0,7,0,4,0,4,0,21,15,20,9,14,18,15,27,25,3,129,13,20,10,22,16,18,26,30,66,234,692,2177,819,1058,950,570,593,817,202,7872
POA2143,7,9,24,26,17,13,6,12,0,116,0,0,0,0,0,0,0,0,0,0,3,0,4,8,9,5,0,3,0,31,4,7,14,4,5,5,4,14,32,85,272,755,264,255,359,121,134,143,59,2372
POA2144,30,5,140,38,24,36,27,54,7,353,0,0,0,6,3,8,7,8,4,37,8,22,11,17,21,9,13,27,3,122,12,12,44,40,17,25,41,45,112,351,631,2021,1026,1471,877,704,698,1159,271,8857
POA2145,86,27,209,108,141,74,114,95,13,869,0,4,0,4,7,0,4,0,0,18,40,84,31,50,79,39,68,44,27,471,52,80,53,61,90,36,62,51,163,644,3792,11540,2809,2448,4315,1538,1677,1363,647,30130
POA2146,26,11,52,29,37,27,24,16,0,220,0,4,0,0,0,0,3,0,0,9,14,18,12,19,22,6,19,9,0,118,15,14,12,10,12,11,24,23,32,165,814,2314,777,616,980,363,435,365,123,6802
