postcode,check,difference,action
2152,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2153,family_additivity,7.0,retain counts; ABS perturbation can break additivity
2154,family_additivity,7.0,retain counts; ABS perturbation can break additivity
2155,family_additivity,6.0,retain counts; ABS perturbation can break additivity
2156,family_additivity,5.0,retain counts; ABS perturbation can break additivity
2158,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2159,family_additivity,4.0,retain counts; ABS perturbation can break additivity
2160,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2161,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
2162,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2163,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
2164,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2165,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2166,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2167,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2168,family_additivity,-8.0,retain counts; ABS perturbation can break additivity
2170,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2171,family_additivity,-12.0,retain counts; ABS perturbation can break additivity
2172,family_additivity,9.0,retain counts; ABS perturbation can break additivity
2173,family_additivity,9.0,retain counts; ABS perturbation can break additivity
2174,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2175,family_additivity,12.0,retain counts; ABS perturbation can break additivity
2176,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2177,family_additivity,5.0,retain counts; ABS perturbation can break additivity
2178,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
2179,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2190,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2191,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2192,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2193,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2194,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2195,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2198,family_additivity,5.0,retain counts; ABS perturbation can break additivity
2200,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2203,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2204,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2205,family_additivity,9.0,retain counts; ABS perturbation can break additivity
2206,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
2207,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2208,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
2209,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2210,family_additivity,8.0,retain counts; ABS perturbation can break additivity
2211,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2212,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
2213,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2214,family_additivity,7.0,retain counts; ABS perturbation can break additivity
2216,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
2217,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2218,family_additivity,8.0,retain counts; ABS perturbation can break additivity
2219,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
2220,family_additivity,5.0,retain counts; ABS perturbation can break additivity
2221,family_additivity,5.0,retain counts; ABS perturbation can break additivity
2222,family_additivity,6.0,retain counts; ABS perturbation can break additivity
2223,family_additivity,-9.0,retain counts; ABS perturbation can break additivity
2224,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
2225,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2226,family_additivity,10.0,retain counts; ABS perturbation can break additivity
2228,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
2229,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2230,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2231,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2232,family_additivity,-9.0,retain counts; ABS perturbation can break additivity
2233,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2234,family_additivity,4.0,retain counts; ABS perturbation can break additivity
2250,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2251,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2257,family_additivity,4.0,retain counts; ABS perturbation can break additivity
2258,family_additivity,4.0,retain counts; ABS perturbation can break additivity
2259,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2260,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2261,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2262,family_additivity,4.0,retain counts; ABS perturbation can break additivity
2263,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2265,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2267,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2278,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
2280,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2281,family_additivity,6.0,retain counts; ABS perturbation can break additivity
2282,family_additivity,4.0,retain counts; ABS perturbation can break additivity
2284,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2285,family_additivity,8.0,retain counts; ABS perturbation can break additivity
2286,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2287,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2289,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2290,family_additivity,7.0,retain counts; ABS perturbation can break additivity
2291,family_additivity,4.0,retain counts; ABS perturbation can break additivity
2292,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
2293,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2294,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
2295,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2296,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2297,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2298,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2299,family_additivity,8.0,retain counts; ABS perturbation can break additivity
2300,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2302,family_additivity,-11.0,retain counts; ABS perturbation can break additivity
2303,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2304,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2305,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2306,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
2307,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2311,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2316,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2317,family_additivity,8.0,retain counts; ABS perturbation can break additivity
2318,family_additivity,6.0,retain counts; ABS perturbation can break additivity
2319,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2320,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2321,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2323,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2325,family_additivity,5.0,retain counts; ABS perturbation can break additivity
2326,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2327,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2328,family_additivity,-11.0,retain counts; ABS perturbation can break additivity
2329,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2333,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2334,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2335,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2336,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2337,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2338,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2339,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
2340,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
2341,family_additivity,5.0,retain counts; ABS perturbation can break additivity
2342,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2343,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
2344,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2345,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2346,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2347,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2350,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2352,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2353,family_additivity,11.0,retain counts; ABS perturbation can break additivity
2354,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2355,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
2356,family_additivity,5.0,retain counts; ABS perturbation can break additivity
2357,family_additivity,4.0,retain counts; ABS perturbation can break additivity
2358,family_additivity,5.0,retain counts; ABS perturbation can break additivity
2359,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2360,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2361,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2371,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2372,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
2379,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
2380,family_additivity,10.0,retain counts; ABS perturbation can break additivity
2381,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2386,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2387,family_additivity,-8.0,retain counts; ABS perturbation can break additivity
2390,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2395,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2396,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2397,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2398,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
2399,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
2400,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2401,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2403,family_additivity,4.0,retain counts; ABS perturbation can break additivity
2404,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2405,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2406,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2408,family_additivity,7.0,retain counts; ABS perturbation can break additivity
2409,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
2410,family_additivity,-8.0,retain counts; ABS perturbation can break additivity
2411,family_additivity,5.0,retain counts; ABS perturbation can break additivity
2415,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
2420,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
2421,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
2422,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2423,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2425,family_additivity,-10.0,retain counts; ABS perturbation can break additivity
2426,family_additivity,4.0,retain counts; ABS perturbation can break additivity
2427,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2428,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
2429,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2430,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2439,family_additivity,5.0,retain counts; ABS perturbation can break additivity
2440,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2441,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
2443,family_additivity,2.0,retain counts; ABS perturbation can break additivity
