postcode,check,difference,action
2647,household_additivity,4.0,retain counts; ABS perturbation can break additivity
2648,household_additivity,6.0,retain counts; ABS perturbation can break additivity
2649,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
2650,household_additivity,8.0,retain counts; ABS perturbation can break additivity
2651,household_additivity,-10.0,retain counts; ABS perturbation can break additivity
2652,household_additivity,-7.0,retain counts; ABS perturbation can break additivity
2653,household_additivity,4.0,retain counts; ABS perturbation can break additivity
2655,household_additivity,1.0,retain counts; ABS perturbation can break additivity
2656,household_additivity,-8.0,retain counts; ABS perturbation can break additivity
2658,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2659,household_additivity,3.0,retain counts; ABS perturbation can break additivity
2660,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
2661,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
2663,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
2665,household_additivity,3.0,retain counts; ABS perturbation can break additivity
2666,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
2668,household_additivity,7.0,retain counts; ABS perturbation can break additivity
2669,household_additivity,7.0,retain counts; ABS perturbation can break additivity
2671,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
2672,household_additivity,5.0,retain counts; ABS perturbation can break additivity
2675,household_additivity,11.0,retain counts; ABS perturbation can break additivity
2680,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2681,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2700,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
2701,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
2702,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
2703,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
2705,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2707,household_additivity,5.0,retain counts; ABS perturbation can break additivity
2710,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
2711,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2712,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2713,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2714,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
2715,household_additivity,6.0,retain counts; ABS perturbation can break additivity
2716,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
2717,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2720,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
2721,household_additivity,7.0,retain counts; ABS perturbation can break additivity
2722,household_additivity,1.0,retain counts; ABS perturbation can break additivity
2725,household_additivity,6.0,retain counts; ABS perturbation can break additivity
2726,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
2727,household_additivity,5.0,retain counts; ABS perturbation can break additivity
2729,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
2730,household_additivity,3.0,retain counts; ABS perturbation can break additivity
2731,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2732,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2733,household_additivity,-7.0,retain counts; ABS perturbation can break additivity
2734,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
2735,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
2737,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
2738,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
2739,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
2745,household_additivity,-7.0,retain counts; ABS perturbation can break additivity
2747,household_additivity,4.0,retain counts; ABS perturbation can break additivity
2748,household_additivity,-6.0,retain counts; ABS perturbation can break additivity
2749,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
2750,household_additivity,5.0,retain counts; ABS perturbation can break additivity
2752,household_additivity,1.0,retain counts; ABS perturbation can break additivity
2753,household_additivity,-7.0,retain counts; ABS perturbation can break additivity
2754,household_additivity,3.0,retain counts; ABS perturbation can break additivity
2756,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2757,household_additivity,1.0,retain counts; ABS perturbation can break additivity
2759,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
2760,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
2761,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
2762,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
2763,household_additivity,4.0,retain counts; ABS perturbation can break additivity
2765,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
2766,household_additivity,5.0,retain counts; ABS perturbation can break additivity
2767,household_additivity,6.0,retain counts; ABS perturbation can break additivity
2768,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2769,household_additivity,4.0,retain counts; ABS perturbation can break additivity
2770,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
2773,household_additivity,6.0,retain counts; ABS perturbation can break additivity
2774,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
2775,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
2776,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
2778,household_additivity,3.0,retain counts; ABS perturbation can break additivity
2779,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
2780,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
2782,household_additivity,1.0,retain counts; ABS perturbation can break additivity
2783,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
2784,household_additivity,-6.0,retain counts; ABS perturbation can break additivity
2785,household_additivity,1.0,retain counts; ABS perturbation can break additivity
2786,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
2787,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
2790,household_additivity,5.0,retain counts; ABS perturbation can break additivity
2791,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
2792,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
2793,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
2794,household_additivity,-8.0,retain counts; ABS perturbation can break additivity
2795,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2797,household_additivity,1.0,retain counts; ABS perturbation can break additivity
2798,household_additivity,4.0,retain counts; ABS perturbation can break additivity
2799,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
2800,household_additivity,1.0,retain counts; ABS perturbation can break additivity
2803,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
2804,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
2805,household_additivity,4.0,retain counts; ABS perturbation can break additivity
2807,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
2808,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2809,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
2810,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
2817,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
2820,household_additivity,7.0,retain counts; ABS perturbation can break additivity
2821,household_additivity,3.0,retain counts; ABS perturbation can break additivity
2822,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
2823,household_additivity,10.0,retain counts; ABS perturbation can break additivity
2824,household_additivity,3.0,retain counts; ABS perturbation can break additivity
2825,household_additivity,-6.0,retain counts; ABS perturbation can break additivity
2826,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
2827,household_additivity,1.0,retain counts; ABS perturbation can break additivity
2828,household_additivity,8.0,retain counts; ABS perturbation can break additivity
2829,household_additivity,1.0,retain counts; ABS perturbation can break additivity
2830,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
2831,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
2832,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
2833,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
2835,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
2836,household_additivity,3.0,retain counts; ABS perturbation can break additivity
2838,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2839,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
2840,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2842,household_additivity,11.0,retain counts; ABS perturbation can break additivity
2843,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
2844,household_additivity,1.0,retain counts; ABS perturbation can break additivity
2845,household_additivity,6.0,retain counts; ABS perturbation can break additivity
2846,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
2847,household_additivity,-9.0,retain counts; ABS perturbation can break additivity
2848,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
2849,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2850,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
2852,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2864,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
2865,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
2866,household_additivity,10.0,retain counts; ABS perturbation can break additivity
2868,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
2869,household_additivity,7.0,retain counts; ABS perturbation can break additivity
2870,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
2871,household_additivity,6.0,retain counts; ABS perturbation can break additivity
2873,household_additivity,4.0,retain counts; ABS perturbation can break additivity
2874,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
2875,household_additivity,-6.0,retain counts; ABS perturbation can break additivity
2876,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2877,household_additivity,-8.0,retain counts; ABS perturbation can break additivity
2878,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
2879,household_additivity,6.0,retain counts; ABS perturbation can break additivity
2880,household_additivity,6.0,retain counts; ABS perturbation can break additivity
2898,household_additivity,6.0,retain counts; ABS perturbation can break additivity
2899,household_additivity,4.0,retain counts; ABS perturbation can break additivity
2900,household_additivity,4.0,retain counts; ABS perturbation can break additivity
2902,household_additivity,2.0,retain counts; ABS perturbation can break additivity
2903,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
2904,household_additivity,4.0,retain counts; ABS perturbation can break additivity
2905,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
2906,household_additivity,3.0,retain counts; ABS perturbation can break additivity
2912,household_additivity,3.0,retain counts; ABS perturbation can break additivity
2913,household_additivity,-7.0,retain counts; ABS perturbation can break additivity
2914,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3002,household_additivity,4.0,retain counts; ABS perturbation can break additivity
3003,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3004,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
3006,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3008,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3011,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3012,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3013,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3015,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3016,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3018,household_additivity,6.0,retain counts; ABS perturbation can break additivity
3019,household_additivity,7.0,retain counts; ABS perturbation can break additivity
3021,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3022,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3023,household_additivity,4.0,retain counts; ABS perturbation can break additivity
3024,household_additivity,9.0,retain counts; ABS perturbation can break additivity
3025,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3026,household_additivity,-8.0,retain counts; ABS perturbation can break additivity
3027,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3028,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3029,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3030,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3031,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3032,household_additivity,6.0,retain counts; ABS perturbation can break additivity
3033,household_additivity,7.0,retain counts; ABS perturbation can break additivity
3034,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3036,household_additivity,5.0,retain counts; ABS perturbation can break additivity
3037,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3038,household_additivity,-9.0,retain counts; ABS perturbation can break additivity
3039,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3040,household_additivity,-7.0,retain counts; ABS perturbation can break additivity
3043,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3046,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
3047,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3048,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3049,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3051,household_additivity,6.0,retain counts; ABS perturbation can break additivity
3052,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
3053,household_additivity,5.0,retain counts; ABS perturbation can break additivity
3054,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3055,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3056,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3057,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3058,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3059,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3060,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
3061,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
3063,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
3065,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3066,household_additivity,4.0,retain counts; ABS perturbation can break additivity
3067,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3070,household_additivity,5.0,retain counts; ABS perturbation can break additivity
3071,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3072,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
3073,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3075,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3076,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3078,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3079,household_additivity,-10.0,retain counts; ABS perturbation can break additivity
3081,household_additivity,-10.0,retain counts; ABS perturbation can break additivity
3082,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3084,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3085,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
3087,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3088,household_additivity,-7.0,retain counts; ABS perturbation can break additivity
3089,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3090,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3091,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3093,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3094,household_additivity,5.0,retain counts; ABS perturbation can break additivity
3095,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3096,household_additivity,-9.0,retain counts; ABS perturbation can break additivity
3097,household_additivity,-8.0,retain counts; ABS perturbation can break additivity
3099,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3101,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3102,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3103,household_additivity,5.0,retain counts; ABS perturbation can break additivity
3105,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3106,household_additivity,4.0,retain counts; ABS perturbation can break additivity
3107,household_additivity,9.0,retain counts; ABS perturbation can break additivity
3109,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3111,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3113,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3114,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
3115,household_additivity,11.0,retain counts; ABS perturbation can break additivity
3116,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3121,household_additivity,-8.0,retain counts; ABS perturbation can break additivity
3122,household_additivity,6.0,retain counts; ABS perturbation can break additivity
3123,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
3124,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3125,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3127,household_additivity,-7.0,retain counts; ABS perturbation can break additivity
3128,household_additivity,4.0,retain counts; ABS perturbation can break additivity
3129,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3130,household_additivity,-7.0,retain counts; ABS perturbation can break additivity
3131,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3132,household_additivity,6.0,retain counts; ABS perturbation can break additivity
3133,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
3134,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3135,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3136,household_additivity,7.0,retain counts; ABS perturbation can break additivity
3137,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3138,household_additivity,6.0,retain counts; ABS perturbation can break additivity
3139,household_additivity,8.0,retain counts; ABS perturbation can break additivity
3140,household_additivity,4.0,retain counts; ABS perturbation can break additivity
3141,household_additivity,6.0,retain counts; ABS perturbation can break additivity
3142,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3143,household_additivity,-9.0,retain counts; ABS perturbation can break additivity
3144,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3145,household_additivity,9.0,retain counts; ABS perturbation can break additivity
3146,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3147,household_additivity,-7.0,retain counts; ABS perturbation can break additivity
3148,household_additivity,4.0,retain counts; ABS perturbation can break additivity
3149,household_additivity,-6.0,retain counts; ABS perturbation can break additivity
3150,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3151,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
3152,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3153,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3154,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3155,household_additivity,6.0,retain counts; ABS perturbation can break additivity
3156,household_additivity,-7.0,retain counts; ABS perturbation can break additivity
3158,household_additivity,-10.0,retain counts; ABS perturbation can break additivity
3159,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3160,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
3161,household_additivity,5.0,retain counts; ABS perturbation can break additivity
3162,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3163,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3165,household_additivity,5.0,retain counts; ABS perturbation can break additivity
3166,household_additivity,-6.0,retain counts; ABS perturbation can break additivity
3167,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
3169,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3171,household_additivity,7.0,retain counts; ABS perturbation can break additivity
3172,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3173,household_additivity,4.0,retain counts; ABS perturbation can break additivity
3174,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3175,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3177,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3178,household_additivity,-7.0,retain counts; ABS perturbation can break additivity
3179,household_additivity,-7.0,retain counts; ABS perturbation can break additivity
3180,household_additivity,5.0,retain counts; ABS perturbation can break additivity
3181,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3182,household_additivity,7.0,retain counts; ABS perturbation can break additivity
3183,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3184,household_additivity,-8.0,retain counts; ABS perturbation can break additivity
3185,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3186,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3188,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3189,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3190,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
3191,household_additivity,-9.0,retain counts; ABS perturbation can break additivity
3192,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3193,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3194,household_additivity,5.0,retain counts; ABS perturbation can break additivity
3195,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3197,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3198,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
3201,household_additivity,-9.0,retain counts; ABS perturbation can break additivity
3202,household_additivity,4.0,retain counts; ABS perturbation can break additivity
3204,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3205,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3206,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3207,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3212,household_additivity,7.0,retain counts; ABS perturbation can break additivity
3213,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3215,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3216,household_additivity,-7.0,retain counts; ABS perturbation can break additivity
3217,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3218,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3219,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3222,household_additivity,5.0,retain counts; ABS perturbation can break additivity
3224,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3226,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3227,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3228,household_additivity,-6.0,retain counts; ABS perturbation can break additivity
3231,household_additivity,-6.0,retain counts; ABS perturbation can break additivity
3232,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3233,household_additivity,-6.0,retain counts; ABS perturbation can break additivity
3234,household_additivity,7.0,retain counts; ABS perturbation can break additivity
3235,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3236,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
3237,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3238,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3239,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3240,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3241,household_additivity,6.0,retain counts; ABS perturbation can break additivity
3242,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3243,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3249,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
3250,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3254,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
3264,household_additivity,-6.0,retain counts; ABS perturbation can break additivity
3265,household_additivity,5.0,retain counts; ABS perturbation can break additivity
3266,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
3268,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3270,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3271,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3272,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3273,household_additivity,6.0,retain counts; ABS perturbation can break additivity
3274,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3275,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3276,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3277,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
3278,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3279,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3280,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3281,household_additivity,7.0,retain counts; ABS perturbation can break additivity
3282,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3284,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3285,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3286,household_additivity,-7.0,retain counts; ABS perturbation can break additivity
3287,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3289,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3292,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
3293,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3294,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3300,household_additivity,-11.0,retain counts; ABS perturbation can break additivity
3301,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3303,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3304,household_additivity,8.0,retain counts; ABS perturbation can break additivity
3305,household_additivity,4.0,retain counts; ABS perturbation can break additivity
3309,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3310,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3311,household_additivity,-8.0,retain counts; ABS perturbation can break additivity
3312,household_additivity,4.0,retain counts; ABS perturbation can break additivity
3314,household_additivity,-6.0,retain counts; ABS perturbation can break additivity
3317,household_additivity,4.0,retain counts; ABS perturbation can break additivity
3318,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3319,household_additivity,6.0,retain counts; ABS perturbation can break additivity
3321,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
3322,household_additivity,-10.0,retain counts; ABS perturbation can break additivity
3323,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
3324,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3325,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3328,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3330,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3331,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
3332,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3333,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3334,household_additivity,5.0,retain counts; ABS perturbation can break additivity
3335,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3336,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3337,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
3338,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3341,household_additivity,4.0,retain counts; ABS perturbation can break additivity
3342,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3345,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3350,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3351,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3352,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3355,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3356,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
3357,household_additivity,8.0,retain counts; ABS perturbation can break additivity
3358,household_additivity,5.0,retain counts; ABS perturbation can break additivity
3360,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3363,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3364,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3370,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3371,household_additivity,9.0,retain counts; ABS perturbation can break additivity
3373,household_additivity,8.0,retain counts; ABS perturbation can break additivity
3374,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3375,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3377,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
3378,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3379,household_additivity,-7.0,retain counts; ABS perturbation can break additivity
3380,household_additivity,-3.0,retain counts; ABS perturbation can break additivity
3381,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3384,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
3385,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3387,household_additivity,7.0,retain counts; ABS perturbation can break additivity
3388,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3390,household_additivity,-6.0,retain counts; ABS perturbation can break additivity
3391,household_additivity,-5.0,retain counts; ABS perturbation can break additivity
3392,household_additivity,3.0,retain counts; ABS perturbation can break additivity
3393,household_additivity,8.0,retain counts; ABS perturbation can break additivity
3395,household_additivity,-2.0,retain counts; ABS perturbation can break additivity
3396,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
3400,household_additivity,1.0,retain counts; ABS perturbation can break additivity
3401,household_additivity,6.0,retain counts; ABS perturbation can break additivity
3407,household_additivity,-4.0,retain counts; ABS perturbation can break additivity
3409,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3412,household_additivity,-1.0,retain counts; ABS perturbation can break additivity
3413,household_additivity,2.0,retain counts; ABS perturbation can break additivity
3414,household_additivity,4.0,retain counts; ABS perturbation can break additivity
